FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC_CLK0_M2C_P        AE22      IO_L12P_T1_MRCC_11                   -
A27     FMC_DP2_C2M_N         AJ3       MGTXTXN2_109                         -
A6      FMC_DP2_M2C_P         AG8       MGTXRXP2_109                         -
A7      FMC_DP2_M2C_N         AG7       MGTXRXN2_109                         -
A30     FMC_DP3_C2M_P         AK2       MGTXTXP3_109                         -
A31     FMC_DP3_C2M_N         AK1       MGTXTXN3_109                         -
A10     FMC_DP3_M2C_P         AE8       MGTXRXP3_109                         -
A11     FMC_DP3_M2C_N         AE7       MGTXRXN3_109                         -
A34     FMC_DP4_C2M_P         AH2       MGTXTXP0_110                         -
A35     FMC_DP4_C2M_N         AH1       MGTXTXN0_110                         -
A14     FMC_DP4_M2C_P         AH6       MGTXRXP0_110                         -
A15     FMC_DP4_M2C_N         AH5       MGTXRXN0_110                         -
A38     FMC_DP5_C2M_P         AF2       MGTXTXP1_110                         -
A39     FMC_DP5_C2M_N         AF1       MGTXTXN1_110                         -
A18     FMC_DP5_M2C_P         AG4       MGTXRXP1_110                         -
A19     FMC_DP5_M2C_N         AG3       MGTXRXN1_110                         -
B36     FMC_DP6_C2M_P         AE4       MGTXTXP2_110                         -
B37     FMC_DP6_C2M_N         AE3       MGTXTXN2_110                         -
B16     FMC_DP6_M2C_P         AF6       MGTXRXP2_110                         -
B17     FMC_DP6_M2C_N         AF5       MGTXRXN2_110                         -
B32     FMC_DP7_C2M_P         AD2       MGTXTXP3_110                         -
B33     FMC_DP7_C2M_N         AD1       MGTXTXN3_110                         -
B12     FMC_DP7_M2C_P         AD6       MGTXRXP3_110                         -
B13     FMC_DP7_M2C_N         AD5       MGTXRXN3_110                         -
B28     FMC_DP8_C2M_P         #N/A      #N/A                                 -
B29     FMC_DP8_C2M_N         #N/A      #N/A                                 -
B8      FMC_DP8_M2C_P         #N/A      #N/A                                 -
B9      FMC_DP8_M2C_N         #N/A      #N/A                                 -
B24     FMC_DP9_C2M_P         #N/A      #N/A                                 -
B25     FMC_DP9_C2M_N         #N/A      #N/A                                 -
B4      FMC_DP9_M2C_P         #N/A      #N/A                                 -
B5      FMC_DP9_M2C_N         #N/A      #N/A                                 -
C30     FMC_SCL               #N/A      #N/A                                 -
C31     FMC_SDA               #N/A      #N/A                                 -
D1      FMC_PG_C2M            #N/A      #N/A                                 -
F1      FMC_PG_M2C            #N/A      #N/A                                 -
H2      FMC_PRSNT_M2C_L       #N/A      #N/A                                 -
