FMC_pin FMC_port_name             FPGA_pin  FPGA_port_name                                           Comments

H5      FMCA_CLK0_M2C_N           PIN_BE21  IO,CLK_3C_0n,LVDS3C_13n                                  FACLK0M2CN
K11     FMCA_HA06_N               PIN_BD20  IO,PLL_3C_CLKOUT0n,LVDS3C_15n                            FAHAN6
K10     FMCA_HA06_P               PIN_BD19  IO,PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0,LVDS3C_15p  FAHAP6
J10     FMCA_HA07_N               PIN_BE29  IO,LVDS2A_14n                                            FAHAN7
J9      FMCA_HA07_P               PIN_BD29  IO,LVDS2A_14p                                            FAHAP7
F11     FMCA_HA08_N               PIN_BC33  IO,LVDS2B_5n                                             FAHAN8
F10     FMCA_HA08_P               PIN_BD33  IO,LVDS2B_5p                                             FAHAP8
E10     FMCA_HA09_N               PIN_AY32  IO,LVDS2A_11n                                            FAHAN9
E9      FMCA_HA09_P               PIN_AY31  IO,RZQ_2A,LVDS2A_11p                                     FAHAP9
K14     FMCA_HA10_N               PIN_AW20  IO,LVDS3C_5n                                             FAHAN10
K13     FMCA_HA10_P               PIN_AW19  IO,LVDS3C_5p                                             FAHAP10
J13     FMCA_HA11_N               PIN_AY21  IO,LVDS3C_4n                                             FAHAN11
J12     FMCA_HA11_P               PIN_AW21  IO,LVDS3C_4p                                             FAHAP11
F14     FMCA_HA12_N               PIN_AV28  IO,LVDS2A_4n                                             FAHAN12
F13     FMCA_HA12_P               PIN_AW28  IO,LVDS2A_4p                                             FAHAP12
E13     FMCA_HA13_N               PIN_BJ31  IO,LVDS2A_22n                                            FAHAN13
E12     FMCA_HA13_P               PIN_BH31  IO,LVDS2A_22p                                            FAHAP13
J16     FMCA_HA14_N               PIN_AY13  IO,LVDS3B_14n                                            FAHAN14
J15     FMCA_HA14_P               PIN_AW13  IO,LVDS3B_14p                                            FAHAP14
F17     FMCA_HA15_N               PIN_BA19  IO,LVDS3C_6n                                             FAHAN15
F16     FMCA_HA15_P               PIN_BB19  IO,LVDS3C_6p                                             FAHAP15
E16     FMCA_HA16_N               PIN_AV20  IO,LVDS3C_11n                                            FAHAN16
E15     FMCA_HA16_P               PIN_AV21  IO,RZQ_3C,LVDS3C_11p                                     FAHAP16
K17     FMCA_HA17_CC_N            PIN_AW11  IO,LVDS3B_18n                                            FAHAN17
K16     FMCA_HA17_CC_P            PIN_AY11  IO,LVDS3B_18p                                            FAHAP17
J19     FMCA_HA18_N               PIN_AV12  IO,PLL_3B_CLKOUT0n,LVDS3B_15n                            FAHAN18
J18     FMCA_HA18_P               PIN_AV11  IO,PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0,LVDS3B_15p  FAHAP18
F20     FMCA_HA19_N               PIN_AU20  IO,LVDS3C_8n                                             FAHAN19
F19     FMCA_HA19_P               PIN_AT20  IO,LVDS3C_8p                                             FAHAP19
E19     FMCA_HA20_N               PIN_AY12  IO,LVDS3B_16n                                            FAHAN20
E18     FMCA_HA20_P               PIN_BA12  IO,LVDS3B_16p                                            FAHAP20
K20     FMCA_HA21_N               PIN_BA11  IO,LVDS3B_17n                                            FAHAN21
K19     FMCA_HA21_P               PIN_BA10  IO,LVDS3B_17p                                            FAHAP21
J22     FMCA_HA22_N               PIN_BF17  IO,LVDS3C_23n                                            FAHAN22
J21     FMCA_HA22_P               PIN_BE17  IO,LVDS3C_23p                                            FAHAP22
K23     FMCA_HA23_N               PIN_BB18  IO,LVDS3C_17n                                            FAHAN23
K22     FMCA_HA23_P               PIN_BC18  IO,LVDS3C_17p                                            FAHAP23
K26     FMCA_HB00_CC_N            PIN_AT30  IO,LVDS2A_6n                                             FAHBN0
K25     FMCA_HB00_CC_P            PIN_AT29  IO,LVDS2A_6p                                             FAHBP0
J25     FMCA_HB01_N               PIN_BF19  IO,LVDS3C_16n                                            FAHBN1
J24     FMCA_HB01_P               PIN_BE19  IO,LVDS3C_16p                                            FAHBP1
F23     FMCA_HB02_N               PIN_AW29  IO,LVDS2A_2n                                             FAHBN2
F22     FMCA_HB02_P               PIN_AY29  IO,LVDS2A_2p                                             FAHBP2
E22     FMCA_HB03_N               PIN_BB28  IO,LVDS2A_3n                                             FAHBN3
E21     FMCA_HB03_P               PIN_BA29  IO,LVDS2A_3p                                             FAHBP3
F26     FMCA_HB04_N               PIN_BD35  IO,LVDS2B_4n                                             FAHBN4
F25     FMCA_HB04_P               PIN_BD34  IO,LVDS2B_4p                                             FAHBP4
E25     FMCA_HB05_N               PIN_BB32  IO,PLL_2A_CLKOUT1n,LVDS2A_10n                            FAHBN5
E24     FMCA_HB05_P               PIN_BA32  IO,PLL_2A_CLKOUT1p,PLL_2A_CLKOUT1,PLL_2A_FB1,LVDS2A_10p  FAHBP5
K29     FMCA_HA06_CC_N            PIN_BB25  IO,LVDS2F_14n                                            FAHBN6
K28     FMCA_HA06_CC_P            PIN_BA25  IO,LVDS2F_14p                                            FAHBP6
J28     FMCA_HB07_N               PIN_AR31  IO,LVDS2B_22n                                            FAHBN7
J27     FMCA_HB07_P               PIN_AR32  IO,LVDS2B_22p                                            FAHBP7
F29     FMCA_HB08_N               PIN_AY33  IO,LVDS2B_14n                                            FAHBN8
F28     FMCA_HB08_P               PIN_AW33  IO,LVDS2B_14p                                            FAHBP8
E28     FMCA_HB09_N               PIN_BJ34  IO,LVDS2B_8n                                             FAHBN9
E27     FMCA_HB09_P               PIN_BJ33  IO,LVDS2B_8p                                             FAHBP9
K32     FMCA_HB10_N               PIN_BE28  IO,LVDS2A_19n                                            FAHBN10
K31     FMCA_HB10_P               PIN_BF29  IO,LVDS2A_19p                                            FAHBP10
J31     FMCA_HB11_N               PIN_AT34  IO,LVDS2B_21n                                            FAHBN11
J30     FMCA_HB11_P               PIN_AT35  IO,LVDS2B_21p                                            FAHBP11
F32     FMCA_HB12_N               PIN_BF34  IO,LVDS2B_7n                                             FAHBN12
F31     FMCA_HB12_P               PIN_BG34  IO,LVDS2B_7p                                             FAHBP12
E31     FMCA_HB13_N               PIN_AU37  IO,LVDS2C_17n                                            FAHBN13
E30     FMCA_HB13_P               PIN_AU38  IO,LVDS2C_17p                                            FAHBP13
K35     FMCA_HB14_N               PIN_BJ29  IO,LVDS2A_20n                                            FAHBN14
K34     FMCA_HB14_P               PIN_BJ30  IO,LVDS2A_20p                                            FAHBP14
J34     FMCA_HB15_N               PIN_BG28  IO,LVDS2A_17n                                            FAHBN15
J33     FMCA_HB15_P               PIN_BG29  IO,LVDS2A_17p                                            FAHBP15
F35     FMCA_HB16_N               PIN_AR16  IO,PLL_3B_CLKOUT1n,LVDS3B_10n                            FAHBN16
F34     FMCA_HB16_P               PIN_AR17  IO,PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1,LVDS3B_10p  FAHBP16
K38     FMCA_HA17_CC_N            PIN_AU33  IO,LVDS2B_24n                                            FAHBN17
K37     FMCA_HA17_CC_P            PIN_AU34  IO,LVDS2B_24p                                            FAHBP17
J37     FMCA_HB18_N               PIN_BH28  IO,LVDS2A_21n                                            FAHBN18
J36     FMCA_HB18_P               PIN_BJ28  IO,LVDS2A_21p                                            FAHBP18
E34     FMCA_HB19_N               PIN_BB27  IO,PLL_2F_CLKOUT0n,LVDS2F_15n                            FAHBN19
E33     FMCA_HB19_P               PIN_BC27  IO,PLL_2F_CLKOUT0p,PLL_2F_CLKOUT0,PLL_2F_FB0,LVDS2F_15p  FAHBP19
F38     FMCA_HB20_N               PIN_AY36  IO,LVDS2B_17n                                            FAHBN20
F37     FMCA_HB20_P               PIN_BA36  IO,LVDS2B_17p                                            FAHBP20
E36     FMCA_HB21_N               PIN_BA35  IO,PLL_2B_CLKOUT0n,LVDS2B_15n                            FAHBN21
E37     FMCA_HB21_P               PIN_BB35  IO,PLL_2B_CLKOUT0p,PLL_2B_CLKOUT0,PLL_2B_FB0,LVDS2B_15p  FAHBP21
D4      FMCA_GBTCLK0_M2C_P        PIN_AP41  REFCLK_GXBL1C_CHTp                                       FAGBTCLK0M2CP
D5      FMCA_GBTCLK0_M2C_N        PIN_AP40  REFCLK_GXBL1C_CHTn                                       FAGBTCLK0M2CN
B20     FMCA_GBTCLK1_M2C_P        PIN_AK41  REFCLK_GXBL1D_CHTp                                       FAGBTCLK1M2CP
B21     FMCA_GBTCLK1_M2C_N        PIN_AK40  REFCLK_GXBL1D_CHTn                                       FAGBTCLK1M2CN
L12     FMCA_GBTCLK2_M2C_P        PIN_AF41  REFCLK_GXBL1E_CHTp                                       FAGBTCLK2M2CP
L13     FMCA_GBTCLK2_M2C_N        PIN_AF40  REFCLK_GXBL1E_CHTn                                       FAGBTCLK2M2CN
L8      FMCA_GBTCLK3_M2C_P        PIN_AM41  REFCLK_GXBL1D_CHBp                                       FAGBTCLK3M2CP
L9      FMCA_GBTCLK3_M2C_N        PIN_AM40  REFCLK_GXBL1D_CHBn                                       FAGBTCLK3M2CN
L4      FMCA_GBTCLK4_M2C_P        PIN_AH41  REFCLK_GXBL1E_CHBp                                       FAGBTCLK4M2CP
L5      FMCA_GBTCLK4_M2C_N        PIN_AH40  REFCLK_GXBL1E_CHBn                                       FAGBTCLK4M2CN
Z20     FMCA_GBTCLK5_M2C_P        PIN_AK38  REFCLK_GXBL1F_CHTp                                       FAGBTCLK5M2CP
Z21     FMCA_GBTCLK5_M2C_N        PIN_AK37  REFCLK_GXBL1F_CHTn                                       FAGBTCLK5M2CN
C3      FMCA_DP00_C2M_N           PIN_BJ45  GXBL1C_TX_CH0n                                           FAD0C2MN
C2      FMCA_DP00_C2M_P           PIN_BJ46  GXBL1C_TX_CH0p                                           FAD0C2MP
C7      FMCA_DP00_M2C_N           PIN_BH40  GXBL1C_RX_CH0n,GXBL1C_REFCLK0n                           FAD0M2CN
C6      FMCA_DP00_M2C_P           PIN_BH41  GXBL1C_RX_CH0p,GXBL1C_REFCLK0p                           FAD0M2CP
A23     FMCA_DP01_C2M_N           PIN_BF44  GXBL1C_TX_CH1n                                           FAD1C2MN
A22     FMCA_DP01_C2M_P           PIN_BF45  GXBL1C_TX_CH1p                                           FAD1C2MP
A3      FMCA_DP01_M2C_N           PIN_BJ42  GXBL1C_RX_CH1n,GXBL1C_REFCLK1n                           FAD1M2CN
A2      FMCA_DP01_M2C_P           PIN_BJ43  GXBL1C_RX_CH1p,GXBL1C_REFCLK1p                           FAD1M2CP
A27     FMCA_DP02_C2M_N           PIN_BG46  GXBL1C_TX_CH2n                                           FAD2C2MN
A26     FMCA_DP02_C2M_P           PIN_BG47  GXBL1C_TX_CH2p                                           FAD2C2MP
A7      FMCA_DP02_M2C_N           PIN_BG42  GXBL1C_RX_CH2n,GXBL1C_REFCLK2n                           FAD2M2CN
A6      FMCA_DP02_M2C_P           PIN_BG43  GXBL1C_RX_CH2p,GXBL1C_REFCLK2p                           FAD2M2CP
A31     FMCA_DP03_C2M_N           PIN_BE46  GXBL1C_TX_CH3n                                           FAD3C2MN
A30     FMCA_DP03_C2M_P           PIN_BE47  GXBL1C_TX_CH3p                                           FAD3C2MP
A11     FMCA_DP03_M2C_N           PIN_BE42  GXBL1C_RX_CH3n,GXBL1C_REFCLK3n                           FAD3M2CN
A10     FMCA_DP03_M2C_P           PIN_BE43  GXBL1C_RX_CH3p,GXBL1C_REFCLK3p                           FAD3M2CP
A35     FMCA_DP04_C2M_N           PIN_BF48  GXBL1C_TX_CH4n                                           FAD4C2MN
A34     FMCA_DP04_C2M_P           PIN_BF49  GXBL1C_TX_CH4p                                           FAD4C2MP
A15     FMCA_DP04_M2C_N           PIN_BC42  GXBL1C_RX_CH4n,GXBL1C_REFCLK4n                           FAD4M2CN
A14     FMCA_DP04_M2C_P           PIN_BC43  GXBL1C_RX_CH4p,GXBL1C_REFCLK4p                           FAD4M2CP
A39     FMCA_DP05_C2M_N           PIN_BC46  GXBL1C_TX_CH5n                                           FAD5C2MN
A38     FMCA_DP05_C2M_P           PIN_BC47  GXBL1C_TX_CH5p                                           FAD5C2MP
A19     FMCA_DP05_M2C_N           PIN_BD44  GXBL1C_RX_CH5n,GXBL1C_REFCLK5n                           FAD5M2CN
A18     FMCA_DP05_M2C_P           PIN_BD45  GXBL1C_RX_CH5p,GXBL1C_REFCLK5p                           FAD5M2CP
B37     FMCA_DP06_C2M_N           PIN_BD48  GXBL1D_TX_CH0n                                           FAD6C2MN
B36     FMCA_DP06_C2M_P           PIN_BD49  GXBL1D_TX_CH0p                                           FAD6C2MP
B17     FMCA_DP06_M2C_N           PIN_BA42  GXBL1D_RX_CH0n,GXBL1D_REFCLK0n                           FAD6M2CN
B16     FMCA_DP06_M2C_P           PIN_BA43  GXBL1D_RX_CH0p,GXBL1D_REFCLK0p                           FAD6M2CP
B33     FMCA_DP07_C2M_N           PIN_BA46  GXBL1D_TX_CH1n                                           FAD7C2MN
B32     FMCA_DP07_C2M_P           PIN_BA47  GXBL1D_TX_CH1p                                           FAD7C2MP
B13     FMCA_DP07_M2C_N           PIN_BB44  GXBL1D_RX_CH1n,GXBL1D_REFCLK1n                           FAD7M2CN
B12     FMCA_DP07_M2C_P           PIN_BB45  GXBL1D_RX_CH1p,GXBL1D_REFCLK1p                           FAD7M2CP
B29     FMCA_DP08_C2M_N           PIN_BB48  GXBL1D_TX_CH2n                                           FAD8C2MN
B28     FMCA_DP08_C2M_P           PIN_BB49  GXBL1D_TX_CH2p                                           FAD8C2MP
B9      FMCA_DP08_M2C_N           PIN_AW42  GXBL1D_RX_CH2n,GXBL1D_REFCLK2n                           FAD8M2CN
B8      FMCA_DP08_M2C_P           PIN_AW43  GXBL1D_RX_CH2p,GXBL1D_REFCLK2p                           FAD8M2CP
B25     FMCA_DP09_C2M_N           PIN_AW46  GXBL1D_TX_CH3n                                           FAD9C2MN
B24     FMCA_DP09_C2M_P           PIN_AW47  GXBL1D_TX_CH3p                                           FAD9C2MP
B5      FMCA_DP09_M2C_N           PIN_AY44  GXBL1D_RX_CH3n,GXBL1D_REFCLK3n                           FAD9M2CN
B4      FMCA_DP09_M2C_P           PIN_AY45  GXBL1D_RX_CH3p,GXBL1D_REFCLK3p                           FAD9M2CP
Z25     FMCA_DP10_C2M_N           PIN_AY48  GXBL1D_TX_CH4n                                           FAD10C2MN
Z24     FMCA_DP10_C2M_P           PIN_AY49  GXBL1D_TX_CH4p                                           FAD10C2MP
Y11     FMCA_DP10_M2C_N           PIN_AU42  GXBL1D_RX_CH4n,GXBL1D_REFCLK4n                           FAD10M2CN
Y10     FMCA_DP10_M2C_P           PIN_AU43  GXBL1D_RX_CH4p,GXBL1D_REFCLK4p                           FAD10M2CP
Y27     FMCA_DP11_C2M_N           PIN_AU46  GXBL1D_TX_CH5n                                           FAD11C2MN
Y26     FMCA_DP11_C2M_P           PIN_AU47  GXBL1D_TX_CH5p                                           FAD11C2MP
Z13     FMCA_DP11_M2C_N           PIN_AV44  GXBL1D_RX_CH5n,GXBL1D_REFCLK5n                           FAD11M2CN
Z12     FMCA_DP11_M2C_P           PIN_AV45  GXBL1D_RX_CH5p,GXBL1D_REFCLK5p                           FAD11M2CP
Z29     FMCA_DP12_C2M_N           PIN_AV48  GXBL1E_TX_CH0n                                           FAD12C2MN
Z28     FMCA_DP12_C2M_P           PIN_AV49  GXBL1E_TX_CH0p                                           FAD12C2MP
Y15     FMCA_DP12_M2C_N           PIN_AR42  GXBL1E_RX_CH0n,GXBL1E_REFCLK0n                           FAD12M2CN
Y14     FMCA_DP12_M2C_P           PIN_AR43  GXBL1E_RX_CH0p,GXBL1E_REFCLK0p                           FAD12M2CP
Y31     FMCA_DP13_C2M_N           PIN_AR46  GXBL1E_TX_CH1n                                           FAD13C2MN
Y30     FMCA_DP13_C2M_P           PIN_AR47  GXBL1E_TX_CH1p                                           FAD13C2MP
Z17     FMCA_DP13_M2C_N           PIN_AT44  GXBL1E_RX_CH1n,GXBL1E_REFCLK1n                           FAD13M2CN
Z16     FMCA_DP13_M2C_P           PIN_AT45  GXBL1E_RX_CH1p,GXBL1E_REFCLK1p                           FAD13M2CP
M19     FMCA_DP14_C2M_N           PIN_AT48  GXBL1E_TX_CH2n                                           FAD14C2MN
M18     FMCA_DP14_C2M_P           PIN_AT49  GXBL1E_TX_CH2p                                           FAD14C2MP
Y19     FMCA_DP14_M2C_N           PIN_AP44  GXBL1E_RX_CH2n,GXBL1E_REFCLK2n                           FAD14M2CN
Y18     FMCA_DP14_M2C_P           PIN_AP45  GXBL1E_RX_CH2p,GXBL1E_REFCLK2p                           FAD14M2CP
M23     FMCA_DP15_C2M_N           PIN_AP48  GXBL1E_TX_CH3n                                           FAD15C2MN
M22     FMCA_DP15_C2M_P           PIN_AP49  GXBL1E_TX_CH3p                                           FAD15C2MP
Y23     FMCA_DP15_M2C_N           PIN_AN42  GXBL1E_RX_CH3n,GXBL1E_REFCLK3n                           FAD15M2CN
Y22     FMCA_DP15_M2C_P           PIN_AN43  GXBL1E_RX_CH3p,GXBL1E_REFCLK3p                           FAD15M2CP
M27     FMCA_DP16_C2M_N           PIN_AN46  GXBL1E_TX_CH4n                                           FAD16C2MN
M26     FMCA_DP16_C2M_P           PIN_AN47  GXBL1E_TX_CH4p                                           FAD16C2MP
Z33     FMCA_DP16_M2C_N           PIN_AM44  GXBL1E_RX_CH4n,GXBL1E_REFCLK4n                           FAD16M2CN
Z32     FMCA_DP16_M2C_P           PIN_AM45  GXBL1E_RX_CH4p,GXBL1E_REFCLK4p                           FAD16M2CP
M31     FMCA_DP17_C2M_N           PIN_AM48  GXBL1E_TX_CH5n                                           FAD17C2MN
M30     FMCA_DP17_C2M_P           PIN_AM49  GXBL1E_TX_CH5p                                           FAD17C2MP
Y35     FMCA_DP17_M2C_N           PIN_AK44  GXBL1E_RX_CH5n,GXBL1E_REFCLK5n                           FAD17M2CN
Y34     FMCA_DP17_M2C_P           PIN_AK45  GXBL1E_RX_CH5p,GXBL1E_REFCLK5p                           FAD17M2CP
M35     FMCA_DP18_C2M_N           PIN_AK48  GXBL1F_TX_CH0n                                           FAD18C2MN
M34     FMCA_DP18_C2M_P           PIN_AK49  GXBL1F_TX_CH0p                                           FAD18C2MP
Z37     FMCA_DP18_M2C_N           PIN_AL42  GXBL1F_RX_CH0n,GXBL1F_REFCLK0n                           FAD18M2CN
Z36     FMCA_DP18_M2C_P           PIN_AL43  GXBL1F_RX_CH0p,GXBL1F_REFCLK0p                           FAD18M2CP
M39     FMCA_DP19_C2M_N           PIN_AL46  GXBL1F_TX_CH1n                                           FAD19C2MN
M38     FMCA_DP19_C2M_P           PIN_AL47  GXBL1F_TX_CH1p                                           FAD19C2MP
Y39     FMCA_DP19_M2C_N           PIN_AH44  GXBL1F_RX_CH1n,GXBL1F_REFCLK1n                           FAD19M2CN
Y38     FMCA_DP19_M2C_P           PIN_AH45  GXBL1F_RX_CH1p,GXBL1F_REFCLK1p                           FAD19M2CP
Z9      FMCA_DP20_C2M_N           PIN_AH48  GXBL1F_TX_CH2n                                           FAD20C2MN
Z8      FMCA_DP20_C2M_P           PIN_AH49  GXBL1F_TX_CH2p                                           FAD20C2MP
M15     FMCA_DP20_M2C_N           PIN_AJ42  GXBL1F_RX_CH2n,GXBL1F_REFCLK2n                           FAD20M2CN
M14     FMCA_DP20_M2C_P           PIN_AJ43  GXBL1F_RX_CH2p,GXBL1F_REFCLK2p                           FAD20M2CP
Y7      FMCA_DP21_C2M_N           PIN_AJ46  GXBL1F_TX_CH3n                                           FAD21C2MN
