FMC_pin FMC_port_name               FPGA_pin   FPGA_port_name                                            Comments

G7      FMCB_LA00_CC_N              PIN_BH37   IO,CLK_2C_1n,LVDS2C_12n                                   FBLAN0
L12     FMCB_GBTCLK2_M2C_P          PIN_V41    REFCLK_GXBL1M_CHTp                                        FBGBTCLK2M2CP
L9      FMCB_GBTCLK3_M2C_N          PIN_P40    REFCLK_GXBL1N_CHTn                                        FBGBTCLK0M3CN
L8      FMCB_GBTCLK3_M2C_P          PIN_P41    REFCLK_GXBL1N_CHTp                                        FBGBTCLK0M3CP
L5      FMCB_GBTCLK4_M2C_N          PIN_Y40    REFCLK_GXBL1M_CHBn                                        FBGBTCLK0M4CN
L4      FMCB_GBTCLK4_M2C_P          PIN_Y41    REFCLK_GXBL1M_CHBp                                        FBGBTCLK0M4CP
Z21     FMCB_GBTCLK5_M2C_N          PIN_AD40   REFCLK_GXBL1L_CHBn                                        FBGBTCLK5M2CN
Z20     FMCB_GBTCLK5_M2C_P          PIN_AD41   REFCLK_GXBL1L_CHBp                                        FBGBTCLK5M2CP
C3      FMCB_DP00_C2M_N             PIN_AE46   GXBL1K_TX_CH0n                                            FBD0C2MN
C2      FMCB_DP00_C2M_P             PIN_AE47   GXBL1K_TX_CH0p                                            FBD0C2MP
C7      FMCB_DP00_M2C_N             PIN_AC42   GXBL1K_RX_CH0n,GXBL1K_REFCLK0n                            FBD0M2CN
C6      FMCB_DP00_M2C_P             PIN_AC43   GXBL1K_RX_CH0p,GXBL1K_REFCLK0p                            FBD0M2CP
A23     FMCB_DP01_C2M_N             PIN_AC46   GXBL1K_TX_CH1n                                            FBD1C2MN
A22     FMCB_DP01_C2M_P             PIN_AC47   GXBL1K_TX_CH1p                                            FBD1C2MP
A3      FMCB_DP01_M2C_N             PIN_AD44   GXBL1K_RX_CH1n,GXBL1K_REFCLK1n                            FBD1M2CN
A2      FMCB_DP01_M2C_P             PIN_AD45   GXBL1K_RX_CH1p,GXBL1K_REFCLK1p                            FBD1M2CP
A27     FMCB_DP02_C2M_N             PIN_AD48   GXBL1K_TX_CH2n                                            FBD2C2MN
A26     FMCB_DP02_C2M_P             PIN_AD49   GXBL1K_TX_CH2p                                            FBD2C2MP
A7      FMCB_DP02_M2C_N             PIN_AA42   GXBL1K_RX_CH2n,GXBL1K_REFCLK2n                            FBD2M2CN
A6      FMCB_DP02_M2C_P             PIN_AA43   GXBL1K_RX_CH2p,GXBL1K_REFCLK2p                            FBD2M2CP
A31     FMCB_DP03_C2M_N             PIN_AA46   GXBL1K_TX_CH3n                                            FBD3C2MN
A30     FMCB_DP03_C2M_P             PIN_AA47   GXBL1K_TX_CH3p                                            FBD3C2MP
A11     FMCB_DP03_M2C_N             PIN_AB44   GXBL1K_RX_CH3n,GXBL1K_REFCLK3n                            FBD3M2CN
A10     FMCB_DP03_M2C_P             PIN_AB45   GXBL1K_RX_CH3p,GXBL1K_REFCLK3p                            FBD3M2CP
A35     FMCB_DP04_C2M_N             PIN_AB48   GXBL1K_TX_CH4n                                            FBD4C2MN
A34     FMCB_DP04_C2M_P             PIN_AB49   GXBL1K_TX_CH4p                                            FBD4C2MP
A15     FMCB_DP04_M2C_N             PIN_W42    GXBL1K_RX_CH4n,GXBL1K_REFCLK4n                            FBD4M2CN
A14     FMCB_DP04_M2C_P             PIN_W43    GXBL1K_RX_CH4p,GXBL1K_REFCLK4p                            FBD4M2CP
A39     FMCB_DP05_C2M_N             PIN_W46    GXBL1K_TX_CH5n                                            FBD5C2MN
A38     FMCB_DP05_C2M_P             PIN_W47    GXBL1K_TX_CH5p                                            FBD5C2MP
A19     FMCB_DP05_M2C_N             PIN_Y44    GXBL1K_RX_CH5n,GXBL1K_REFCLK5n                            FBD5M2CN
A18     FMCB_DP05_M2C_P             PIN_Y45    GXBL1K_RX_CH5p,GXBL1K_REFCLK5p                            FBD5M2CP
B37     FMCB_DP06_C2M_N             PIN_Y48    GXBL1L_TX_CH0n                                            FBD6C2MN
B36     FMCB_DP06_C2M_P             PIN_Y49    GXBL1L_TX_CH0p                                            FBD6C2MP
B17     FMCB_DP06_M2C_N             PIN_V44    GXBL1L_RX_CH0n,GXBL1L_REFCLK0n                            FBD6M2CN
B16     FMCB_DP06_M2C_P             PIN_V45    GXBL1L_RX_CH0p,GXBL1L_REFCLK0p                            FBD6M2CP
B33     FMCB_DP07_C2M_N             PIN_V48    GXBL1L_TX_CH1n                                            FBD7C2MN
B32     FMCB_DP07_C2M_P             PIN_V49    GXBL1L_TX_CH1p                                            FBD7C2MP
B13     FMCB_DP07_M2C_N             PIN_U42    GXBL1L_RX_CH1n,GXBL1L_REFCLK1n                            FBD7M2CN
B12     FMCB_DP07_M2C_P             PIN_U43    GXBL1L_RX_CH1p,GXBL1L_REFCLK1p                            FBD7M2CP
B29     FMCB_DP08_C2M_N             PIN_U46    GXBL1L_TX_CH2n                                            FBD8C2MN
B28     FMCB_DP08_C2M_P             PIN_U47    GXBL1L_TX_CH2p                                            FBD8C2MP
B9      FMCB_DP08_M2C_N             PIN_T44    GXBL1L_RX_CH2n,GXBL1L_REFCLK2n                            FBD8M2CN
B8      FMCB_DP08_M2C_P             PIN_T45    GXBL1L_RX_CH2p,GXBL1L_REFCLK2p                            FBD8M2CP
B25     FMCB_DP09_C2M_N             PIN_T48    GXBL1L_TX_CH3n                                            FBD9C2MN
B24     FMCB_DP09_C2M_P             PIN_T49    GXBL1L_TX_CH3p                                            FBD9C2MP
B5      FMCB_DP09_M2C_N             PIN_P44    GXBL1L_RX_CH3n,GXBL1L_REFCLK3n                            FBD9M2CN
B4      FMCB_DP09_M2C_P             PIN_P45    GXBL1L_RX_CH3p,GXBL1L_REFCLK3p                            FBD9M2CP
Z2      FMCB_DP10_C2M_N             PIN_P48    GXBL1L_TX_CH4n                                            FBD10C2MN
Z2      FMCB_DP10_C2M_P             PIN_P49    GXBL1L_TX_CH4p                                            FBD10C2MP
Y1      FMCB_DP10_M2C_N             PIN_R42    GXBL1L_RX_CH4n,GXBL1L_REFCLK4n                            FBD10M2CN
Y1      FMCB_DP10_M2C_P             PIN_R43    GXBL1L_RX_CH4p,GXBL1L_REFCLK4p                            FBD10M2CP
Y2      FMCB_DP11_C2M_N             PIN_R46    GXBL1L_TX_CH5n                                            FBD11C2MN
Y2      FMCB_DP11_C2M_P             PIN_R47    GXBL1L_TX_CH5p                                            FBD11C2MP
Z1      FMCB_DP11_M2C_N             PIN_M44    GXBL1L_RX_CH5n,GXBL1L_REFCLK5n                            FBD11M2CN
Z1      FMCB_DP11_M2C_P             PIN_M45    GXBL1L_RX_CH5p,GXBL1L_REFCLK5p                            FBD11M2CP
Z2      FMCB_DP12_C2M_N             PIN_M48    GXBL1M_TX_CH0n                                            FBD12C2MN
Z2      FMCB_DP12_C2M_P             PIN_M49    GXBL1M_TX_CH0p                                            FBD12C2MP
Y1      FMCB_DP12_M2C_N             PIN_N42    GXBL1M_RX_CH0n,GXBL1M_REFCLK0n                            FBD12M2CN
Y1      FMCB_DP12_M2C_P             PIN_N43    GXBL1M_RX_CH0p,GXBL1M_REFCLK0p                            FBD12M2CP
Y3      FMCB_DP13_C2M_N             PIN_N46    GXBL1M_TX_CH1n                                            FBD13C2MN
Y3      FMCB_DP13_C2M_P             PIN_N47    GXBL1M_TX_CH1p                                            FBD13C2MP
Z1      FMCB_DP13_M2C_N             PIN_K44    GXBL1M_RX_CH1n,GXBL1M_REFCLK1n                            FBD13M2CN
Z1      FMCB_DP13_M2C_P             PIN_K45    GXBL1M_RX_CH1p,GXBL1M_REFCLK1p                            FBD13M2CP
M1      FMCB_DP14_C2M_N             PIN_K48    GXBL1M_TX_CH2n                                            FBD14C2MN
M1      FMCB_DP14_C2M_P             PIN_K49    GXBL1M_TX_CH2p                                            FBD14C2MP
Y1      FMCB_DP14_M2C_N             PIN_L42    GXBL1M_RX_CH2n,GXBL1M_REFCLK2n                            FBD14M2CN
Y1      FMCB_DP14_M2C_P             PIN_L43    GXBL1M_RX_CH2p,GXBL1M_REFCLK2p                            FBD14M2CP
M2      FMCB_DP15_C2M_N             PIN_L46    GXBL1M_TX_CH3n                                            FBD15C2MN
M2      FMCB_DP15_C2M_P             PIN_L47    GXBL1M_TX_CH3p                                            FBD15C2MP
Y2      FMCB_DP15_M2C_N             PIN_H44    GXBL1M_RX_CH3n,GXBL1M_REFCLK3n                            FBD15M2CN
Y2      FMCB_DP15_M2C_P             PIN_H45    GXBL1M_RX_CH3p,GXBL1M_REFCLK3p                            FBD15M2CP
M2      FMCB_DP16_C2M_N             PIN_H48    GXBL1M_TX_CH4n                                            FBD16C2MN
M2      FMCB_DP16_C2M_P             PIN_H49    GXBL1M_TX_CH4p                                            FBD16C2MP
Z3      FMCB_DP16_M2C_N             PIN_J42    GXBL1M_RX_CH4n,GXBL1M_REFCLK4n                            FBD16M2CN
Z3      FMCB_DP16_M2C_P             PIN_J43    GXBL1M_RX_CH4p,GXBL1M_REFCLK4p                            FBD16M2CP
M3      FMCB_DP17_C2M_N             PIN_J46    GXBL1M_TX_CH5n                                            FBD17C2MN
M3      FMCB_DP17_C2M_P             PIN_J47    GXBL1M_TX_CH5p                                            FBD17C2MP
Y3      FMCB_DP17_M2C_N             PIN_F44    GXBL1M_RX_CH5n,GXBL1M_REFCLK5n                            FBD17M2CN
Y3      FMCB_DP17_M2C_P             PIN_F45    GXBL1M_RX_CH5p,GXBL1M_REFCLK5p                            FBD17M2CP
M3      FMCB_DP18_C2M_N             PIN_F48    GXBL1N_TX_CH0n                                            FBD18C2MN
M3      FMCB_DP18_C2M_P             PIN_F49    GXBL1N_TX_CH0p                                            FBD18C2MP
Z3      FMCB_DP18_M2C_N             PIN_G42    GXBL1N_RX_CH0n,GXBL1N_REFCLK0n                            FBD18M2CN
Z3      FMCB_DP18_M2C_P             PIN_G43    GXBL1N_RX_CH0p,GXBL1N_REFCLK0p                            FBD18M2CP
M3      FMCB_DP19_C2M_N             PIN_G46    GXBL1N_TX_CH1n                                            FBD19C2MN
M3      FMCB_DP19_C2M_P             PIN_G47    GXBL1N_TX_CH1p                                            FBD19C2MP
Y3      FMCB_DP19_M2C_N             PIN_D44    GXBL1N_RX_CH1n,GXBL1N_REFCLK1n                            FBD19M2CN
Y3      FMCB_DP19_M2C_P             PIN_D45    GXBL1N_RX_CH1p,GXBL1N_REFCLK1p                            FBD19M2CP
Z9      FMCB_DP20_C2M_N             PIN_D48    GXBL1N_TX_CH2n                                            FBD20C2MN
Z8      FMCB_DP20_C2M_P             PIN_D49    GXBL1N_TX_CH2p                                            FBD20C2MP
M1      FMCB_DP20_M2C_N             PIN_E42    GXBL1N_RX_CH2n,GXBL1N_REFCLK2n                            FBD20M2CN
M1      FMCB_DP20_M2C_P             PIN_E43    GXBL1N_RX_CH2p,GXBL1N_REFCLK2p                            FBD20M2CP
Y7      FMCB_DP21_C2M_N             PIN_E46    GXBL1N_TX_CH3n                                            FBD21C2MN
Y6      FMCB_DP21_C2M_P             PIN_E47    GXBL1N_TX_CH3p                                            FBD21C2MP
M1      FMCB_DP21_M2C_N             PIN_C42    GXBL1N_RX_CH3n,GXBL1N_REFCLK3n                            FBD21M2CN
M1      FMCB_DP21_M2C_P             PIN_C43    GXBL1N_RX_CH3p,GXBL1N_REFCLK3p                            FBD21M2CP
Z5      FMCB_DP22_C2M_N             PIN_C46    GXBL1N_TX_CH4n                                            FBD22C2MN
Z4      FMCB_DP22_C2M_P             PIN_C47    GXBL1N_TX_CH4p                                            FBD22C2MP
M7      FMCB_DP22_M2C_N             PIN_A42    GXBL1N_RX_CH4n,GXBL1N_REFCLK4n                            FBD22M2CN
M6      FMCB_DP22_M2C_P             PIN_A43    GXBL1N_RX_CH4p,GXBL1N_REFCLK4p                            FBD22M2CP
Y3      FMCB_DP23_C2M_N             PIN_B44    GXBL1N_TX_CH5n                                            FBD23C2MN
Y2      FMCB_DP23_C2M_P             PIN_B45    GXBL1N_TX_CH5p                                            FBD23C2MP
M3      FMCB_DP23_M2C_N             PIN_B40    GXBL1N_RX_CH5n,GXBL1N_REFCLK5n                            FBD23M2CN
M2      FMCB_DP23_M2C_P             PIN_B41    GXBL1N_RX_CH5p,GXBL1N_REFCLK5p                            FBD23M2CP
#N/A    REFCLK1_FMC_N               PIN_T40    REFCLK_GXBL1N_CHBn                                        -
#N/A    REFCLK1_FMC_P               PIN_T41    REFCLK_GXBL1N_CHBp                                        -
#N/A    CLEARNER_XVRL_122.88MH_Z_N  PIN_Y37    REFCLK_GXBL1K_CHBn                                        -
#N/A    CLEARNER_XVRL_122.88MH_Z_P  PIN_Y38    REFCLK_GXBL1K_CHBp                                        -
