FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC1_CLK0_M2C_P       L18       IO_L12P_T1_MRCC_34                   -
G30     FMC1_LA29_P           B16       IO_L8P_T1_AD10P_35                   -
G31     FMC1_LA29_N           B17       IO_L8N_T1_AD10N_35                   -
H34     FMC1_LA30_P           E21       IO_L17P_T2_AD5P_35                   -
H35     FMC1_LA30_N           D21       IO_L17N_T2_AD5N_35                   -
G33     FMC1_LA31_P           A16       IO_L9P_T1_DQS_AD3P_35                -
G34     FMC1_LA31_N           A17       IO_L9N_T1_DQS_AD3N_35                -
H37     FMC1_LA32_P           B21       IO_L18P_T2_AD13P_35                  -
H38     FMC1_LA32_N           B22       IO_L18N_T2_AD13N_35                  -
G36     FMC1_LA33_P           A18       IO_L10P_T1_AD11P_35                  -
G37     FMC1_LA33_N           A19       IO_L10N_T1_AD11N_35                  -
C30     FMC1_SCL              #N/A      #N/A                                 -
C31     FMC1_SDA              #N/A      #N/A                                 -
D4      FMC1_GBTCLK0_M2C_P    #N/A      #N/A                                 -
D5      FMC1_GBTCLK0_M2C_N    #N/A      #N/A                                 -
C2      FMC1_DP0_C2M_P        #N/A      #N/A                                 -
C3      FMC1_DP0_C2M_N        #N/A      #N/A                                 -
C6      FMC1_DP0_M2C_P        #N/A      #N/A                                 -
C7      FMC1_DP0_M2C_N        #N/A      #N/A                                 -
D1      FMC1_PG_C2M           #N/A      #N/A                                 -
H2      FMC1_PRSNT_M2C_L      #N/A      #N/A                                 -
