Conn_pin Conn_port_name                     FPGA_pin       FPGA_port_name               

A2       PS_GTR_REFCLK0_505_P               AB32           PS_MGTREFCLK0P_505                   
G2       IO_L6N_T0U_N11_AD6N_65             AW12           IO_L6N_T0U_N11_AD6N_65               
G3       IO_L6P_T0U_N10_AD6P_65             AV12           IO_L6P_T0U_N10_AD6P_65               
G5       IO_L5N_T0U_N9_AD14N_65             AU13           IO_L5N_T0U_N9_AD14N_65               
G6       IO_L5P_T0U_N8_AD14P_65             AU14           IO_L5P_T0U_N8_AD14P_65               
G8       IO_L2N_T0L_N3_67                   AW22           IO_L2N_T0L_N3_67                     
G9       IO_L2P_T0L_N2_67                   AV22           IO_L2P_T0L_N2_67                     
G11      IO_L5P_T0U_N8_AD14P_67             AU24           IO_L5P_T0U_N8_AD14P_67               
G12      IO_L5N_T0U_N9_AD14N_67             AU25           IO_L5N_T0U_N9_AD14N_67               
G17      IO_L17N_T2U_N9_AD10N_65            AM13           IO_L17N_T2U_N9_AD10N_65              
G18      IO_L17P_T2U_N8_AD10P_65            AL13           IO_L17P_T2U_N8_AD10P_65              
G20      IO_L24N_T3U_N11_65                 AK15           IO_L24N_T3U_N11_65                   
G21      IO_L24P_T3U_N10_65                 AJ15           IO_L24P_T3U_N10_65                   
G23      IO_L22N_T3U_N7_DBC_AD0N_65         AJ16           IO_L22N_T3U_N7_DBC_AD0N_65           
G24      IO_L22P_T3U_N6_DBC_AD0P_65         AH16           IO_L22P_T3U_N6_DBC_AD0P_65           
G26      IO_L21P_T3L_N4_AD8P_65             AJ12           IO_L21P_T3L_N4_AD8P_65               
G27      IO_L21N_T3L_N5_AD8N_65             AK12           IO_L21N_T3L_N5_AD8N_65               
G29      IO_L1P_T0L_N0_DBC_68               H38            IO_L1P_T0L_N0_DBC_68                 
G30      IO_L1N_T0L_N1_DBC_68               H39            IO_L1N_T0L_N1_DBC_68                 
G32      IO_L2N_T0L_N3_68                   E38            IO_L2N_T0L_N3_68                     
G33      IO_L2P_T0L_N2_68                   F38            IO_L2P_T0L_N2_68                     
G35      IO_L21P_T3L_N4_AD8P_68             C37            IO_L21P_T3L_N4_AD8P_68               
G36      IO_L21N_T3L_N5_AD8N_68             B38            IO_L21N_T3L_N5_AD8N_68               
G38      IO_L17P_T2U_N8_AD10P_68            D32            IO_L17P_T2U_N8_AD10P_68              
G39      IO_L17N_T2U_N9_AD10N_68            C32            IO_L17N_T2U_N9_AD10N_68              
H1       IO_T2U_N12_65                      AL12           IO_T2U_N12_65                        
H2       IO_T3U_N12_PERSTN0_65              AH17           IO_T3U_N12_PERSTN0_65                
H4       IO_L1N_T0L_N1_DBC_65               AV11           IO_L1N_T0L_N1_DBC_65                 
H5       IO_L1P_T0L_N0_DBC_65               AU11           IO_L1P_T0L_N0_DBC_65                 
H7       IO_L11N_T1U_N9_GC_65               AR14           IO_L11N_T1U_N9_GC_65                 
H8       IO_L11P_T1U_N8_GC_65               AP14           IO_L11P_T1U_N8_GC_65                 
H10      IO_L4N_T0U_N7_DBC_AD7N_67          AW25           IO_L4N_T0U_N7_DBC_AD7N_67            
H11      IO_L4P_T0U_N6_DBC_AD7P_67          AW24           IO_L4P_T0U_N6_DBC_AD7P_67            
H13      IO_L16P_T2U_N6_QBC_AD3P_65         AM15           IO_L16P_T2U_N6_QBC_AD3P_65           
H14      IO_L16N_T2U_N7_QBC_AD3N_65         AN14           IO_L16N_T2U_N7_QBC_AD3N_65           
H16      IO_L12P_T1U_N10_GC_67              AP24           IO_L12P_T1U_N10_GC_67                
H17      IO_L12N_T1U_N11_GC_67              AR24           IO_L12N_T1U_N11_GC_67                
H19      IO_L17N_T2U_N9_AD10N_67            AM25           IO_L17N_T2U_N9_AD10N_67              
H20      IO_L17P_T2U_N8_AD10P_67            AL25           IO_L17P_T2U_N8_AD10P_67              
H22      IO_L23P_T3U_N8_67                  AH24           IO_L23P_T3U_N8_67                    
H23      IO_L23N_T3U_N9_67                  AJ24           IO_L23N_T3U_N9_67                    
H25      IO_L18P_T2U_N10_AD2P_67            AM23           IO_L18P_T2U_N10_AD2P_67              
H26      IO_L18N_T2U_N11_AD2N_67            AM24           IO_L18N_T2U_N11_AD2N_67              
H28      IO_L7N_T1L_N1_QBC_AD13N_68         H33            IO_L7N_T1L_N1_QBC_AD13N_68           
H29      IO_L7P_T1L_N0_QBC_AD13P_68         J32            IO_L7P_T1L_N0_QBC_AD13P_68           
H31      IO_L12P_T1U_N10_GC_68              F35            IO_L12P_T1U_N10_GC_68                
H32      IO_L12N_T1U_N11_GC_68              F36            IO_L12N_T1U_N11_GC_68                
H34      IO_L10P_T1U_N6_QBC_AD4P_68         F32            IO_L10P_T1U_N6_QBC_AD4P_68           
H35      IO_L10N_T1U_N7_QBC_AD4N_68         F33            IO_L10N_T1U_N7_QBC_AD4N_68           
H37      IO_L22P_T3U_N6_DBC_AD0P_68         A35            IO_L22P_T3U_N6_DBC_AD0P_68           
H38      IO_L22N_T3U_N7_DBC_AD0N_68         A36            IO_L22N_T3U_N7_DBC_AD0N_68           
H40      IO_T0U_N12_VRP_68                  D37            IO_T0U_N12_VRP_68                    
J2       IO_L7N_T1L_N1_QBC_AD13N_65         AU10           IO_L7N_T1L_N1_QBC_AD13N_65           
J3       IO_L7P_T1L_N0_QBC_AD13P_65         AT10           IO_L7P_T1L_N0_QBC_AD13P_65           
J5       IO_L9N_T1L_N5_AD12N_65             AR12           IO_L9N_T1L_N5_AD12N_65               
J6       IO_L9P_T1L_N4_AD12P_65             AP12           IO_L9P_T1L_N4_AD12P_65               
J8       IO_L12N_T1U_N11_GC_65              AR15           IO_L12N_T1U_N11_GC_65                
J9       IO_L12P_T1U_N10_GC_65              AP15           IO_L12P_T1U_N10_GC_65                
J11      IO_L14N_T2L_N3_GC_65               AP16           IO_L14N_T2L_N3_GC_65                 
J12      IO_L14P_T2L_N2_GC_65               AN16           IO_L14P_T2L_N2_GC_65                 
J14      IO_L8P_T1L_N2_AD5P_67              AR22           IO_L8P_T1L_N2_AD5P_67                
J15      IO_L8N_T1L_N3_AD5N_67              AT22           IO_L8N_T1L_N3_AD5N_67                
J17      IO_L14P_T2L_N2_GC_67               AN22           IO_L14P_T2L_N2_GC_67                 
J18      IO_L14N_T2L_N3_GC_67               AP22           IO_L14N_T2L_N3_GC_67                 
J20      IO_L19P_T3L_N0_DBC_AD9P_67         AK24           IO_L19P_T3L_N0_DBC_AD9P_67           
J21      IO_L19N_T3L_N1_DBC_AD9N_67         AK25           IO_L19N_T3L_N1_DBC_AD9N_67           
J23      IO_L24N_T3U_N11_67                 AK23           IO_L24N_T3U_N11_67                   
J24      IO_L24P_T3U_N10_67                 AK22           IO_L24P_T3U_N10_67                   
J26      IO_T0U_N12_VRP_67                  AU23           IO_T0U_N12_VRP_67                    
J27      IO_T1U_N12_67                      AT27           IO_T1U_N12_67                        
J29      IO_L9N_T1L_N5_AD12N_68             G34            IO_L9N_T1L_N5_AD12N_68               
J30      IO_L9P_T1L_N4_AD12P_68             G33            IO_L9P_T1L_N4_AD12P_68               
J32      IO_L13N_T2L_N1_GC_QBC_68           D35            IO_L13N_T2L_N1_GC_QBC_68             
J33      IO_L13P_T2L_N0_GC_QBC_68           E35            IO_L13P_T2L_N0_GC_QBC_68             
J35      IO_L15P_T2L_N4_AD11P_68            E32            IO_L15P_T2L_N4_AD11P_68              
J36      IO_L15N_T2L_N5_AD11N_68            E33            IO_L15N_T2L_N5_AD11N_68              
J38      IO_L18P_T2U_N10_AD2P_68            A32            IO_L18P_T2U_N10_AD2P_68              
J39      IO_L18N_T2U_N11_AD2N_68            A33            IO_L18N_T2U_N11_AD2N_68              
K1       IO_T0U_N12_VRP_65                  AU15           IO_T0U_N12_VRP_65                    
K2       IO_T1U_N12_SMBALERT_65             AT15           IO_T1U_N12_SMBALERT_65               
K4       IO_L2N_T0L_N3_65                   AW14           IO_L2N_T0L_N3_65                     
K5       IO_L2P_T0L_N2_65                   AW15           IO_L2P_T0L_N2_65                     
K7       IO_L10N_T1U_N7_QBC_AD4N_65         AT13           IO_L10N_T1U_N7_QBC_AD4N_65           
K8       IO_L10P_T1U_N6_QBC_AD4P_65         AR13           IO_L10P_T1U_N6_QBC_AD4P_65           
K10      IO_L1P_T0L_N0_DBC_67               AW26           IO_L1P_T0L_N0_DBC_67                 
K11      IO_L1N_T0L_N1_DBC_67               AW27           IO_L1N_T0L_N1_DBC_67                 
K13      IO_L9N_T1L_N5_AD12N_67             AT25           IO_L9N_T1L_N5_AD12N_67               
K14      IO_L9P_T1L_N4_AD12P_67             AR25           IO_L9P_T1L_N4_AD12P_67               
K16      IO_L13P_T2L_N0_GC_QBC_67           AN23           IO_L13P_T2L_N0_GC_QBC_67             
K17      IO_L13N_T2L_N1_GC_QBC_67           AN24           IO_L13N_T2L_N1_GC_QBC_67             
K19      IO_L18N_T2U_N11_AD2N_65            AM16           IO_L18N_T2U_N11_AD2N_65              
K20      IO_L18P_T2U_N10_AD2P_65            AL16           IO_L18P_T2U_N10_AD2P_65              
K22      IO_L20N_T3L_N3_AD1N_65             AK17           IO_L20N_T3L_N3_AD1N_65               
K23      IO_L20P_T3L_N2_AD1P_65             AJ17           IO_L20P_T3L_N2_AD1P_65               
K25      IO_L19N_T3L_N1_DBC_AD9N_65         AK13           IO_L19N_T3L_N1_DBC_AD9N_65           
K26      IO_L19P_T3L_N0_DBC_AD9P_65         AK14           IO_L19P_T3L_N0_DBC_AD9P_65           
K28      IO_L3P_T0L_N4_AD15P_68             H36            IO_L3P_T0L_N4_AD15P_68               
K29      IO_L3N_T0L_N5_AD15N_68             H37            IO_L3N_T0L_N5_AD15N_68               
K31      IO_L6N_T0U_N11_AD6N_68             E37            IO_L6N_T0U_N11_AD6N_68               
K32      IO_L6P_T0U_N10_AD6P_68             F37            IO_L6P_T0U_N10_AD6P_68               
K34      IO_L20P_T3L_N2_AD1P_68             C38            IO_L20P_T3L_N2_AD1P_68               
K35      IO_L20N_T3L_N3_AD1N_68             C39            IO_L20N_T3L_N3_AD1N_68               
K37      IO_L16P_T2U_N6_QBC_AD3P_68         B33            IO_L16P_T2U_N6_QBC_AD3P_68           
K38      IO_L16N_T2U_N7_QBC_AD3N_68         B34            IO_L16N_T2U_N7_QBC_AD3N_68           
