Conn_pin Conn_port_name               FPGA_pin       FPGA_port_name               

A1       GPIO_18_B                    AL10           IO_L23N_T3U_N9_66            
H14      MGTHRXN0_226                 AD1            MGTHRXN0_226                 
H15      MGTHRXP0_226                 AD2            MGTHRXP0_226                 
H18      MGTHRXN3_226                 AA3            MGTHRXN3_226                 
H19      MGTHRXP3_226                 AA4            MGTHRXP3_226                 
H22      MGTHTXN1_227                 W7             MGTHTXN1_227                 
H23      MGTHTXP1_227                 W8             MGTHTXP1_227                 
H26      MGTHRXN2_227                 V1             MGTHRXN2_227                 
H27      MGTHRXP2_227                 V2             MGTHRXP2_227                 
H30      MGTHRXN1_228                 R3             MGTHRXN1_228                 
H31      MGTHRXP1_228                 R4             MGTHRXP1_228                 
H34      MGTHTXN1_229                 L7             MGTHTXN1_229                 
H35      MGTHTXP1_229                 L8             MGTHTXP1_229                 
H38      MGTREFCLK0N_229              U11            MGTREFCLK0N_229              
H39      MGTREFCLK0P_229              U12            MGTREFCLK0P_229              
J4       MGTHTXN0_224                 AM5            MGTHTXN0_224                 
J5       MGTHTXP0_224                 AM6            MGTHTXP0_224                 
J8       MGTHTXN3_224                 AJ7            MGTHTXN3_224                 
J9       MGTHTXP3_224                 AJ8            MGTHTXP3_224                 
J12      MGTHTXN2_225                 AF5            MGTHTXN2_225                 
J13      MGTHTXP2_225                 AF6            MGTHTXP2_225                 
J16      MGTHTXN1_226                 AC7            MGTHTXN1_226                 
J17      MGTHTXP1_226                 AC8            MGTHTXP1_226                 
J20      MGTREFCLK0P_226              AD10           MGTREFCLK0P_226              
J21      MGTREFCLK0N_226              AD9            MGTREFCLK0N_226              
J24      MGTREFCLK0P_227              AA12           MGTREFCLK0P_227              
J25      MGTREFCLK0N_227              AA11           MGTREFCLK0N_227              
J28      MGTHTXN3_227                 U7             MGTHTXN3_227                 
J29      MGTHTXP3_227                 U8             MGTHTXP3_227                 
J32      MGTHTXN3_228                 N7             MGTHTXN3_228                 
J33      MGTHTXP3_228                 N8             MGTHTXP3_228                 
J36      MGTHTXN2_229                 K5             MGTHTXN2_229                 
J37      MGTHTXP2_229                 K6             MGTHTXP2_229C                
K2       MGTREFCLK0N_224              AH9            MGTREFCLK0N_224              
K3       MGTREFCLK0P_224              AH10           MGTREFCLK0P_224              
K6       MGTHTXN1_224                 AL7            MGTHTXN1_224                 
K7       MGTHTXP1_224                 AL8            MGTHTXP1_224                 
K10      MGTHTXN0_225                 AH5            MGTHTXN0_225                 
K11      MGTHTXP0_225                 AH6            MGTHTXP0_225                 
K14      MGTHTXN3_225                 AE7            MGTHTXN3_225                 
K15      MGTHTXP3_225                 AE8            MGTHTXP3_225                 
K18      MGTHTXN2_226                 AB5            MGTHTXN2_226                 
K19      MGTHTXP2_226                 AB6            MGTHTXP2_226                 
K22      MGTREFCLK1N_227              Y9             MGTREFCLK1N_227              
K23      MGTREFCLK1P_227              Y10            MGTREFCLK1P_227              
K26      MGTHTXN2_227                 V5             MGTHTXN2_227                 
K27      MGTHTXP2_227                 V6             MGTHTXP2_227                 
K30      MGTHTXN1_228                 R7             MGTHTXN1_228                 
K31      MGTHTXP1_228                 R8             MGTHTXP1_228                 
K34      MGTHTXN0_229                 M5             MGTHTXN0_229                 
K35      MGTHTXP0_229                 M6             MGTHTXP0_229                 
K38      MGTREFCLK1N_229              T9             MGTREFCLK1N_229              
K39      MGTREFCLK1P_229              T10            MGTREFCLK1P_229              
