FMC_pin FMC_port_name         FPGA_pin       FPGA_port_name                       Comments

H4      FMC0_CLK0_M2C_P       AA7            IO_L12P_T1U_N10_GC_66                -
J36     FMC0_HB18_P           #N/A           #N/A                                 -
J37     FMC0_HB18_N           #N/A           #N/A                                 -
E33     FMC0_HB19_P           #N/A           #N/A                                 -
E34     FMC0_HB19_N           #N/A           #N/A                                 -
F37     FMC0_HB20_P           #N/A           #N/A                                 -
F38     FMC0_HB20_N           #N/A           #N/A                                 -
E36     FMC0_HB21_P           #N/A           #N/A                                 -
E37     FMC0_HB21_N           #N/A           #N/A                                 -
D4      FMC0_GBTCLK0_M2C_C_P  G8             MGTREFCLK0P_229                      -
D5      FMC0_GBTCLK0_M2C_C_N  G7             MGTREFCLK0N_229                      -
B20     FMC0_GBTCLK1_M2C_C_P  L8             MGTREFCLK0P_228                      -
B21     FMC0_GBTCLK1_M2C_C_N  L7             MGTREFCLK0N_228                      -
C2      FMC0_DP0_C2M_P        G4             MGTHTXP2_229                         -
C3      FMC0_DP0_C2M_N        G3             MGTHTXN2_229                         -
C6      FMC0_DP0_M2C_P        H2             MGTHRXP2_229                         -
C7      FMC0_DP0_M2C_N        H1             MGTHRXN2_229                         -
A22     FMC0_DP1_C2M_P        H6             MGTHTXP1_229                         -
A23     FMC0_DP1_C2M_N        H5             MGTHTXN1_229                         -
A2      FMC0_DP1_M2C_P        J4             MGTHRXP1_229                         -
A3      FMC0_DP1_M2C_N        J3             MGTHRXN1_229                         -
A26     FMC0_DP2_C2M_P        F6             MGTHTXP3_229                         -
A27     FMC0_DP2_C2M_N        F5             MGTHTXN3_229                         -
A6      FMC0_DP2_M2C_P        F2             MGTHRXP3_229                         -
A7      FMC0_DP2_M2C_N        F1             MGTHRXN3_229                         -
A30     FMC0_DP3_C2M_P        K6             MGTHTXP0_229                         -
A31     FMC0_DP3_C2M_N        K5             MGTHTXN0_229                         -
A10     FMC0_DP3_M2C_P        K2             MGTHRXP0_229                         -
A11     FMC0_DP3_M2C_N        K1             MGTHRXN0_229                         -
A34     FMC0_DP4_C2M_P        M6             MGTHTXP3_228                         -
A35     FMC0_DP4_C2M_N        M5             MGTHTXN3_228                         -
A14     FMC0_DP4_M2C_P        L4             MGTHRXP3_228                         -
A15     FMC0_DP4_M2C_N        L3             MGTHRXN3_228                         -
A38     FMC0_DP5_C2M_P        P6             MGTHTXP1_228                         -
A39     FMC0_DP5_C2M_N        P5             MGTHTXN1_228                         -
A18     FMC0_DP5_M2C_P        P2             MGTHRXP1_228                         -
A19     FMC0_DP5_M2C_N        P1             MGTHRXN1_228                         -
B36     FMC0_DP6_C2M_P        R4             MGTHTXP0_228                         -
B37     FMC0_DP6_C2M_N        R3             MGTHTXN0_228                         -
B16     FMC0_DP6_M2C_P        T2             MGTHRXP0_228                         -
B17     FMC0_DP6_M2C_N        T1             MGTHRXN0_228                         -
B32     FMC0_DP7_C2M_P        N4             MGTHTXP2_228                         -
B33     FMC0_DP7_C2M_N        N3             MGTHTXN2_228                         -
B12     FMC0_DP7_M2C_P        M2             MGTHRXP2_228                         -
B13     FMC0_DP7_M2C_N        M1             MGTHRXN2_228                         -
B28     FMC0_DP8_C2M_P        #N/A           #N/A                                 -
B29     FMC0_DP8_C2M_N        #N/A           #N/A                                 -
B8      FMC0_DP8_M2C_P        #N/A           #N/A                                 -
B9      FMC0_DP8_M2C_N        #N/A           #N/A                                 -
B24     FMC0_DP9_C2M_P        #N/A           #N/A                                 -
B25     FMC0_DP9_C2M_N        #N/A           #N/A                                 -
B4      FMC0_DP9_M2C_P        #N/A           #N/A                                 -
B5      FMC0_DP9_M2C_N        #N/A           #N/A                                 -
C30     FMC0_SCL              #N/A           #N/A                                 -
C31     FMC0_SDA              #N/A           #N/A                                 -
D1      FMC0_PG_C2M           #N/A           #N/A                                 -
F1      FMC0_PG_M2C           #N/A           #N/A                                 -
H2      FMC0_PRSNT_M2C_L      #N/A           #N/A                                 -
