FMC_pin  FMC_port_name          FPGA_pin       FPGA_port_name                       Comments
G21      FMC1_LA20_P            AB11           IO_L2P_T0L_N2_66                     -
G22      FMC1_LA20_N            AB10           IO_L2N_T0L_N3_66                     -
H25      FMC1_LA21_P            AC12           IO_L1P_T0L_N0_DBC_66                 -
H26      FMC1_LA21_N            AC11           IO_L1N_T0L_N1_DBC_66                 -
G24      FMC1_LA22_P            AF11           IO_L4P_T0U_N6_DBC_AD7P_SMBALERT_65   -
G25      FMC1_LA22_N            AG11           IO_L4N_T0U_N7_DBC_AD7N_65            -
D23      FMC1_LA23_P            AE12           IO_L3P_T0L_N4_AD15P_65               -
D24      FMC1_LA23_N            AF12           IO_L3N_T0L_N5_AD15N_65               -
H28      FMC1_LA24_P            AH12           IO_L2P_T0L_N2_65                     -
H29      FMC1_LA24_N            AH11           IO_L2N_T0L_N3_65                     -
G27      FMC1_LA25_P            AE10           IO_L1P_T0L_N0_DBC_65                 -
G28      FMC1_LA25_N            AF10           IO_L1N_T0L_N1_DBC_65                 -
D26      FMC1_LA26_P            T12            IO_L4P_T0U_N6_DBC_AD7P_67            -
D27      FMC1_LA26_N            R12            IO_L4N_T0U_N7_DBC_AD7N_67            -
C26      FMC1_LA27_P            U10            IO_L3P_T0L_N4_AD15P_67               -
C27      FMC1_LA27_N            T10            IO_L3N_T0L_N5_AD15N_67               -
H31      FMC1_LA28_P            T13            IO_L2P_T0L_N2_67                     -
H32      FMC1_LA28_N            R13            IO_L2N_T0L_N3_67                     -
G30      FMC1_LA29_P            W12            IO_L1P_T0L_N0_DBC_67                 -
G31      FMC1_LA29_N            W11            IO_L1N_T0L_N1_DBC_67                 -
H34      FMC1_LA30_P            #N/A           #N/A                                 -
H35      FMC1_LA30_N            #N/A           #N/A                                 -
G33      FMC1_LA31_P            #N/A           #N/A                                 -
G34      FMC1_LA31_N            #N/A           #N/A                                 -
H37      FMC1_LA32_P            #N/A           #N/A                                 -
H38      FMC1_LA32_N            #N/A           #N/A                                 -
G36      FMC1_LA33_P            #N/A           #N/A                                 -
G37      FMC1_LA33_N            #N/A           #N/A                                 -
F4       FMC1_HA00_CC_P         #N/A           #N/A                                 -
F5       FMC1_HA00_CC_N         #N/A           #N/A                                 -
E2       FMC1_HA01_CC_P         #N/A           #N/A                                 -
E3       FMC1_HA01_CC_N         #N/A           #N/A                                 -
K7       FMC1_HA02_P            #N/A           #N/A                                 -
K8       FMC1_HA02_N            #N/A           #N/A                                 -
J6       FMC1_HA03_P            #N/A           #N/A                                 -
J7       FMC1_HA03_N            #N/A           #N/A                                 -
F7       FMC1_HA04_P            #N/A           #N/A                                 -
F8       FMC1_HA04_N            #N/A           #N/A                                 -
E6       FMC1_HA05_P            #N/A           #N/A                                 -
E7       FMC1_HA05_N            #N/A           #N/A                                 -
K10      FMC1_HA06_P            #N/A           #N/A                                 -
K11      FMC1_HA06_N            #N/A           #N/A                                 -
J9       FMC1_HA07_P            #N/A           #N/A                                 -
J10      FMC1_HA07_N            #N/A           #N/A                                 -
F10      FMC1_HA08_P            #N/A           #N/A                                 -
F11      FMC1_HA08_N            #N/A           #N/A                                 -
E9       FMC1_HA09_P            #N/A           #N/A                                 -
E10      FMC1_HA09_N            #N/A           #N/A                                 -
K13      FMC1_HA10_P            #N/A           #N/A                                 -
K14      FMC1_HA10_N            #N/A           #N/A                                 -
J12      FMC1_HA11_P            #N/A           #N/A                                 -
J13      FMC1_HA11_N            #N/A           #N/A                                 -
F13      FMC1_HA12_P            #N/A           #N/A                                 -
F14      FMC1_HA12_N            #N/A           #N/A                                 -
E12      FMC1_HA13_P            #N/A           #N/A                                 -
E13      FMC1_HA13_N            #N/A           #N/A                                 -
J15      FMC1_HA14_P            #N/A           #N/A                                 -
J16      FMC1_HA14_N            #N/A           #N/A                                 -
F16      FMC1_HA15_P            #N/A           #N/A                                 -
F17      FMC1_HA15_N            #N/A           #N/A                                 -
E15      FMC1_HA16_P            #N/A           #N/A                                 -
E16      FMC1_HA16_N            #N/A           #N/A                                 -
K16      FMC1_HA17_CC_P         #N/A           #N/A                                 -
K17      FMC1_HA17_CC_N         #N/A           #N/A                                 -
J18      FMC1_HA18_P            #N/A           #N/A                                 -
J19      FMC1_HA18_N            #N/A           #N/A                                 -
F19      FMC1_HA19_P            #N/A           #N/A                                 -
F20      FMC1_HA19_N            #N/A           #N/A                                 -
E18      FMC1_HA20_P            #N/A           #N/A                                 -
E19      FMC1_HA20_N            #N/A           #N/A                                 -
K19      FMC1_HA21_P            #N/A           #N/A                                 -
K20      FMC1_HA21_N            #N/A           #N/A                                 -
J21      FMC1_HA22_P            #N/A           #N/A                                 -
J22      FMC1_HA22_N            #N/A           #N/A                                 -
K22      FMC1_HA23_P            #N/A           #N/A                                 -
K23      FMC1_HA23_N            #N/A           #N/A                                 -
K25      FMC1_HB00_CC_P         #N/A           #N/A                                 -
K26      FMC1_HB00_CC_N         #N/A           #N/A                                 -
J24      FMC1_HB01_P            #N/A           #N/A                                 -
J25      FMC1_HB01_N            #N/A           #N/A                                 -
F22      FMC1_HB02_P            #N/A           #N/A                                 -
F23      FMC1_HB02_N            #N/A           #N/A                                 -
E21      FMC1_HB03_P            #N/A           #N/A                                 -
E22      FMC1_HB03_N            #N/A           #N/A                                 -
F25      FMC1_HB04_P            #N/A           #N/A                                 -
F26      FMC1_HB04_N            #N/A           #N/A                                 -
E24      FMC1_HB05_P            #N/A           #N/A                                 -
E25      FMC1_HB05_N            #N/A           #N/A                                 -
K28      FMC1_HB06_CC_P         #N/A           #N/A                                 -
K29      FMC1_HB06_CC_N         #N/A           #N/A                                 -
J27      FMC1_HB07_P            #N/A           #N/A                                 -
J28      FMC1_HB07_N            #N/A           #N/A                                 -
F28      FMC1_HB08_P            #N/A           #N/A                                 -
F29      FMC1_HB08_N            #N/A           #N/A                                 -
E27      FMC1_HB09_P            #N/A           #N/A                                 -
E28      FMC1_HB09_N            #N/A           #N/A                                 -
K31      FMC1_HB10_P            #N/A           #N/A                                 -
K32      FMC1_HB10_N            #N/A           #N/A                                 -
J30      FMC1_HB11_P            #N/A           #N/A                                 -
J31      FMC1_HB11_N            #N/A           #N/A                                 -
F31      FMC1_HB12_P            #N/A           #N/A                                 -
F32      FMC1_HB12_N            #N/A           #N/A                                 -
E30      FMC1_HB13_P            #N/A           #N/A                                 -
E31      FMC1_HB13_N            #N/A           #N/A                                 -
K34      FMC1_HB14_P            #N/A           #N/A                                 -
K35      FMC1_HB14_N            #N/A           #N/A                                 -
J33      FMC1_HB15_P            #N/A           #N/A                                 -
J34      FMC1_HB15_N            #N/A           #N/A                                 -
F34      FMC1_HB16_P            #N/A           #N/A                                 -
F35      FMC1_HB16_N            #N/A           #N/A                                 -
K37      FMC1_HB17_CC_P         #N/A           #N/A                                 -
K38      FMC1_HB17_CC_N         #N/A           #N/A                                 -
J36      FMC1_HB18_P            #N/A           #N/A                                 -
J37      FMC1_HB18_N            #N/A           #N/A                                 -
E33      FMC1_HB19_P            #N/A           #N/A                                 -
E34      FMC1_HB19_N            #N/A           #N/A                                 -
F37      FMC1_HB20_P            #N/A           #N/A                                 -
F38      FMC1_HB20_N            #N/A           #N/A                                 -
E36      FMC1_HB21_P            #N/A           #N/A                                 -
E37      FMC1_HB21_N            #N/A           #N/A                                 -
D4       FMC1_GBTCLK0_M2C_C_P   G27            MGTREFCLK0P_130                      -
D5       FMC1_GBTCLK0_M2C_C_N   G28            MGTREFCLK0N_130                      -
B20      FMC1_GBTCLK1_M2C_C_P   E27            MGTREFCLK1P_130                      -
B21      FMC1_GBTCLK1_M2C_C_N   E28            MGTREFCLK1N_130                      -
C2       FMC1_DP0_C2M_P         F29            MGTHTXP0_130                         -
C3       FMC1_DP0_C2M_N         F30            MGTHTXN0_130                         -
C6       FMC1_DP0_M2C_P         E31            MGTHRXP0_130                         -
C7       FMC1_DP0_M2C_N         E32            MGTHRXN0_130                         -
A22      FMC1_DP1_C2M_P         D29            MGTHTXP1_130                         -
A23      FMC1_DP1_C2M_N         D30            MGTHTXN1_130                         -
A2       FMC1_DP1_M2C_P         D33            MGTHRXP1_130                         -
A3       FMC1_DP1_M2C_N         D34            MGTHRXN1_130                         -
A26      FMC1_DP2_C2M_P         B29            MGTHTXP2_130                         -
A27      FMC1_DP2_C2M_N         B30            MGTHTXN2_130                         -
A6       FMC1_DP2_M2C_P         C31            MGTHRXP2_130                         -
A7       FMC1_DP2_M2C_N         C32            MGTHRXN2_130                         -
A30      FMC1_DP3_C2M_P         A31            MGTHTXP3_130                         -
A31      FMC1_DP3_C2M_N         A32            MGTHTXN3_130                         -
A10      FMC1_DP3_M2C_P         B33            MGTHRXP3_130                         -
A11      FMC1_DP3_M2C_N         B34            MGTHRXN3_130                         -
A34      FMC1_DP4_C2M_P         K29            MGTHTXP0_129                         -
A35      FMC1_DP4_C2M_N         K30            MGTHTXN0_129                         -
A14      FMC1_DP4_M2C_P         L31            MGTHRXP0_129                         -
A15      FMC1_DP4_M2C_N         L32            MGTHRXN0_129                         -
A38      FMC1_DP5_C2M_P         J31            MGTHTXP1_129                         -
A39      FMC1_DP5_C2M_N         J32            MGTHTXN1_129                         -
A18      FMC1_DP5_M2C_P         K33            MGTHRXP1_129                         -
A19      FMC1_DP5_M2C_N         K34            MGTHRXN1_129                         -
B36      FMC1_DP6_C2M_P         H29            MGTHTXP2_129                         -
B37      FMC1_DP6_C2M_N         H30            MGTHTXN2_129                         -
B16      FMC1_DP6_M2C_P         H33            MGTHRXP2_129                         -
B17      FMC1_DP6_M2C_N         H34            MGTHRXN2_129                         -
B32      FMC1_DP7_C2M_P         G31            MGTHTXP3_129                         -
B33      FMC1_DP7_C2M_N         G32            MGTHTXN3_129                         -
B12      FMC1_DP7_M2C_P         F33            MGTHRXP3_129                         -
B13      FMC1_DP7_M2C_N         F34            MGTHRXN3_129                         -
B28      FMC1_DP8_C2M_P         #N/A           #N/A                                 -
B29      FMC1_DP8_C2M_N         #N/A           #N/A                                 -
B8       FMC1_DP8_M2C_P         #N/A           #N/A                                 -
B9       FMC1_DP8_M2C_N         #N/A           #N/A                                 -
B24      FMC1_DP9_C2M_P         #N/A           #N/A                                 -
B25      FMC1_DP9_C2M_N         #N/A           #N/A                                 -
B4       FMC1_DP9_M2C_P         #N/A           #N/A                                 -
B5       FMC1_DP9_M2C_N         #N/A           #N/A                                 -
C30      FMC1_SCL               #N/A           #N/A                                 -
C31      FMC1_SDA               #N/A           #N/A                                 -
D1       FMC1_PG_C2M            #N/A           #N/A                                 -
F1       FMC1_PG_M2C            #N/A           #N/A                                 -
H2       FMC1_PRSNT_M2C_L       #N/A           #N/A                                 -
