FMC_pin FMC_port_name           FPGA_pin  FPGA_port_name                       Comments

H5      FMC1_CLK0_M2C_N         BC8       IO_L12N_T1U_N11_GC_66                -
C18     FMC1_LA14_P             AW8       IO_L18P_T2U_N10_AD2P_66              -
H20     FMC1_LA15_N             BC16      IO_L20N_T3L_N3_AD1N_66               -
H19     FMC1_LA15_P             BB16      IO_L20P_T3L_N2_AD1P_66               -
G19     FMC1_LA16_N             AV8       IO_L16N_T2U_N7_QBC_AD3N_66           -
G18     FMC1_LA16_P             AV9       IO_L16P_T2U_N6_QBC_AD3P_66           -
D21     FMC1_LA17_CC_N          AT14      IO_L13N_T2L_N1_GC_QBC_67             -
D20     FMC1_LA17_CC_P          AR14      IO_L13P_T2L_N0_GC_QBC_67             -
C23     FMC1_LA18_CC_N          AR12      IO_L16N_T2U_N7_QBC_AD3N_67           -
C22     FMC1_LA18_CC_P          AP12      IO_L16P_T2U_N6_QBC_AD3P_67           -
H23     FMC1_LA19_N             AY12      IO_L2N_T0L_N3_67                     -
H22     FMC1_LA19_P             AW12      IO_L2P_T0L_N2_67                     -
G22     FMC1_LA20_N             AY10      IO_L3N_T0L_N5_AD15N_67               -
G21     FMC1_LA20_P             AW11      IO_L3P_T0L_N4_AD15P_67               -
H26     FMC1_LA21_N             AV11      IO_L6N_T0U_N11_AD6N_67               -
H25     FMC1_LA21_P             AU11      IO_L6P_T0U_N10_AD6P_67               -
G25     FMC1_LA22_N             AY13      IO_L5N_T0U_N9_AD14N_67               -
G24     FMC1_LA22_P             AW13      IO_L5P_T0U_N8_AD14P_67               -
D24     FMC1_LA23_N             AP16      IO_L17N_T2U_N9_AD10N_67              -
D23     FMC1_LA23_P             AN16      IO_L17P_T2U_N8_AD10P_67              -
H29     FMC1_LA24_N             AR13      IO_L14N_T2L_N3_GC_67                 -
H28     FMC1_LA24_P             AP13      IO_L14P_T2L_N2_GC_67                 -
G28     FMC1_LA25_N             AU12      IO_L1N_T0L_N1_DBC_67                 -
G27     FMC1_LA25_P             AT12      IO_L1P_T0L_N0_DBC_67                 -
D27     FMC1_LA26_N             AL15      IO_L20N_T3L_N3_AD1N_67               -
D26     FMC1_LA26_P             AK15      IO_L20P_T3L_N2_AD1P_67               -
C27     FMC1_LA27_N             AM14      IO_L19N_T3L_N1_DBC_AD9N_67           -
C26     FMC1_LA27_P             AL14      IO_L19P_T3L_N0_DBC_AD9P_67           -
H32     FMC1_LA28_N             AW10      IO_L4N_T0U_N7_DBC_AD7N_67            -
H31     FMC1_LA28_P             AV10      IO_L4P_T0U_N6_DBC_AD7P_67            -
G31     FMC1_LA29_N             AP15      IO_L18N_T2U_N11_AD2N_67              -
G30     FMC1_LA29_P             AN15      IO_L18P_T2U_N10_AD2P_67              -
H35     FMC1_LA30_N             AL12      IO_L21N_T3L_N5_AD8N_67               -
H34     FMC1_LA30_P             AK12      IO_L21P_T3L_N4_AD8P_67               -
G34     FMC1_LA31_N             AM12      IO_L23N_T3U_N9_67                    -
G33     FMC1_LA31_P             AM13      IO_L23P_T3U_N8_67                    -
H38     FMC1_LA32_N             AJ12      IO_L22N_T3U_N7_DBC_AD0N_67           -
H37     FMC1_LA32_P             AJ13      IO_L22P_T3U_N6_DBC_AD0P_67           -
G37     FMC1_LA33_N             AK13      IO_L24N_T3U_N11_67                   -
G36     FMC1_LA33_P             AK14      IO_L24P_T3U_N10_67                   -
H2      FMC1_PRSNT_M2C_B_LS     BB7       IO_L15N_T2L_N5_AD11N_66              -
F1      FMC1_PG_M2C_LS          BA7       IO_L15P_T2L_N4_AD11P_66              -
#N/A    FMC_VADJ_ON_LS          AL29      IO_L15P_T2L_N4_AD11P_43              -
