Conn_pin  Schematic_name        FPGA_pin    FPGA_port_name              System_top_name        IOSTANDARD   Termination
A24       RX2_ENABLE_A          AP1         IO_L6N_T0U_N11_AD6N_66      adrv9009_rx2_enable_a  LVCMOS18     #N/A
A25       TX1_ENABLE_A          AR3         IO_L5P_T0U_N8_AD14P_66      adrv9009_tx1_enable_a  LVCMOS18     #N/A
A26       TX2_ENABLE_A          AT3         IO_L5N_T0U_N9_AD14N_66      adrv9009_tx2_enable_a  LVCMOS18     #N/A

A28       I2C1_SCL              AN19        IO_L12P_T1U_N10_GC_64       i2c1_scl               LVCMOS18     #N/A
A29       I2C1_SDA              AN18        IO_L12N_T1U_N11_GC_64       i2c1_sda               LVCMOS18     #N/A

A30       RESETB_AD9545         AR19        IO_L13P_T2L_N1_GC_QBC_64    resetb_ad9545          LVCMOS18     #N/A

D10       SYNC_OUT1             AJ19        IO_L22N_T3U_N7_DBC_AD0N_64  hmc7044_sync           LVCMOS18     #N/A
A31       RESET_HMC7044_CAR     AP19        IO_L13N_T2L_N0_GC_QBC_64    hmc7044_car_reset      LVCMOS18     #N/A
A32       GPIO_1_HMC7044_CAR    AP20        IO_L14P_T2L_N2_GC_64        hmc7044_car_gpio_1     LVCMOS18     #N/A
A33       GPIO_2_HMC7044_CAR    AR20        IO_L14N_T2L_N3_GC_64        hmc7044_car_gpio_2     LVCMOS18     #N/A
A34       GPIO_3_HMC7044_CAR    AP9         IO_L19P_T3L_N0_DBC_AD9P_66  hmc7044_car_gpio_3     LVCMOS18     #N/A
A35       GPIO_4_HMC7044_CAR    AP8         IO_L19N_T3L_N1_DBC_AD9N_66  hmc7044_car_gpio_4     LVCMOS18     #N/A
A36       SPI_CSN_HMC7044_CAR   AR10        IO_L20P_T3L_N2_AD1P_66      spi_csn_hmc7044_car    LVCMOS18     #N/A

A37       SPI_MOSI              AP21        IO_L10N_T1U_N7_QBC_AD4N_64  spi_sdio               LVCMOS18     #N/A
A38       SPI_MISO              AR9         IO_L20N_T3L_N3_AD1N_66      spi_miso               LVCMOS18     #N/A
A39       SPI_CLK               AN21        IO_L10P_T1U_N6_QBC_AD4P_64  spi_clk                LVCMOS18     #N/A
