FMC_pin FMC_port_name            FPGA_pin  FPGA_port_name                       Comments

H4      FMC2_CLK0_M2C_P          BB14      IO_L6P_GC_XCC_N2P0_M2P120_708        -
H37     FMC2_LA32_P              AL16      IO_L23P_N7P4_M2P100_707              -
H38     FMC2_LA32_N              AM17      IO_L23N_N7P5_M2P101_707              -
G36     FMC2_LA33_P              AT17      IO_L22P_N7P2_M2P98_707               -
G37     FMC2_LA33_N              AU16      IO_L22N_N7P3_M2P99_707               -
D5      FMC2_GBTCLK0_M2C_C_N     F14       GTY_REFCLKN1_204                     -
D4      FMC2_GBTCLK0_M2C_C_P     F15       GTY_REFCLKP1_204                     -
B21     FMC2_GBTCLK1_M2C_C_N     D14       GTY_REFCLKN1_205                     -
B20     FMC2_GBTCLK1_M2C_C_P     D15       GTY_REFCLKP1_205                     -
L13     FMC2_GBTCLK2_M2C_C_N     B14       GTY_REFCLKN1_206                     -
L12     FMC2_GBTCLK2_M2C_C_P     B15       GTY_REFCLKP1_206                     -
C3      FMC2_DP0_C2M_N           K6        GTY_TXN0_204                         -
C2      FMC2_DP0_C2M_P           K7        GTY_TXP0_204                         -
C7      FMC2_DP0_M2C_N           K1        GTY_RXN0_204                         -
C6      FMC2_DP0_M2C_P           K2        GTY_RXP0_204                         -
A23     FMC2_DP1_C2M_N           K10       GTY_TXN1_204                         -
A22     FMC2_DP1_C2M_P           K11       GTY_TXP1_204                         -
A3      FMC2_DP1_M2C_N           J3        GTY_RXN1_204                         -
A2      FMC2_DP1_M2C_P           J4        GTY_RXP1_204                         -
A27     FMC2_DP2_C2M_N           J8        GTY_TXN2_204                         -
A26     FMC2_DP2_C2M_P           J9        GTY_TXP2_204                         -
A7      FMC2_DP2_M2C_N           H1        GTY_RXN2_204                         -
A6      FMC2_DP2_M2C_P           H2        GTY_RXP2_204                         -
A31     FMC2_DP3_C2M_N           H10       GTY_TXN3_204                         -
A30     FMC2_DP3_C2M_P           H11       GTY_TXP3_204                         -
A11     FMC2_DP3_M2C_N           H5        GTY_RXN3_204                         -
A10     FMC2_DP3_M2C_P           H6        GTY_RXP3_204                         -
A35     FMC2_DP4_C2M_N           G8        GTY_TXN0_205                         -
A34     FMC2_DP4_C2M_P           G9        GTY_TXP0_205                         -
A15     FMC2_DP4_M2C_N           G3        GTY_RXN0_205                         -
A14     FMC2_DP4_M2C_P           G4        GTY_RXP0_205                         -
A39     FMC2_DP5_C2M_N           F10       GTY_TXN1_205                         -
A38     FMC2_DP5_C2M_P           F11       GTY_TXP1_205                         -
A19     FMC2_DP5_M2C_N           F1        GTY_RXN1_205                         -
A18     FMC2_DP5_M2C_P           F2        GTY_RXP1_205                         -
B37     FMC2_DP6_C2M_N           E8        GTY_TXN2_205                         -
B36     FMC2_DP6_C2M_P           E9        GTY_TXP2_205                         -
B17     FMC2_DP6_M2C_N           F5        GTY_RXN2_205                         -
B16     FMC2_DP6_M2C_P           F6        GTY_RXP2_205                         -
B33     FMC2_DP7_C2M_N           D10       GTY_TXN3_205                         -
B32     FMC2_DP7_C2M_P           D11       GTY_TXP3_205                         -
B13     FMC2_DP7_M2C_N           E3        GTY_RXN3_205                         -
B12     FMC2_DP7_M2C_P           E4        GTY_RXP3_205                         -
B29     FMC2_DP8_C2M_N           C8        GTY_TXN0_206                         -
B28     FMC2_DP8_C2M_P           C9        GTY_TXP0_206                         -
B9      FMC2_DP8_M2C_N           D1        GTY_RXN0_206                         -
B8      FMC2_DP8_M2C_P           D2        GTY_RXP0_206                         -
B25     FMC2_DP9_C2M_N           B10       GTY_TXN1_206                         -
B24     FMC2_DP9_C2M_P           B11       GTY_TXP1_206                         -
B5      FMC2_DP9_M2C_N           D5        GTY_RXN1_206                         -
B4      FMC2_DP9_M2C_P           D6        GTY_RXP1_206                         -
Z25     FMC2_DP10_C2M_N          A8        GTY_TXN2_206                         -
Z24     FMC2_DP10_C2M_P          A9        GTY_TXP2_206                         -
Y11     FMC2_DP10_M2C_N          C3        GTY_RXN2_206                         -
Y10     FMC2_DP10_M2C_P          C4        GTY_RXP2_206                         -
Y27     FMC2_DP11_C2M_N          A12       GTY_TXN3_206                         -
Y26     FMC2_DP11_C2M_P          A13       GTY_TXP3_206                         -
Z13     FMC2_DP11_M2C_N          B5        GTY_RXN3_206                         -
Z12     FMC2_DP11_M2C_P          B6        GTY_RXP3_206                         -
