FMC_pin FMC_port_name         FPGA_pin  FPGA_port_name                       Comments

H4      FMC1_CLK0_M2C_P       L39       IO_L13P_T2_MRCC_19_L39               -
H19     FMC1_LA15_P           M36       IO_L18P_T2_19_M36                    -
H20     FMC1_LA15_N           L37       IO_L18N_T2_19_L37                    -
G18     FMC1_LA16_P           K37       IO_L17P_T2_19_K37                    -
G19     FMC1_LA16_N           K38       IO_L17N_T2_19_K38                    -
D20     FMC1_LA17_CC_P        L31       IO_L12P_T1_MRCC_34_L31               -
D21     FMC1_LA17_CC_N        K32       IO_L12N_T1_MRCC_34_K32               -
C22     FMC1_LA18_CC_P        M32       IO_L11P_T1_SRCC_34_M32               -
C23     FMC1_LA18_CC_N        L32       IO_L11N_T1_SRCC_34_L32               -
H22     FMC1_LA19_P           W30       IO_L22P_T3_34_W30                    -
H23     FMC1_LA19_N           W31       IO_L22N_T3_34_W31                    -
G21     FMC1_LA20_P           Y29       IO_L24P_T3_34_Y29                    -
G22     FMC1_LA20_N           Y30       IO_L24N_T3 _34_Y30                   -
H25     FMC1_LA21_P           N28       IO_L17P_T2_34_N28                    -
H26     FMC1_LA21_N           N29       IO_L17N_T2_34_N29                    -
G24     FMC1_LA22_P           R28       IO_L16P_T2_34_R28                    -
G25     FMC1_LA22_N           P28       IO_L16N_T2_34_P28                    -
D23     FMC1_LA23_P           P30       IO_L14P_T2_SRCC_34_P30               -
D24     FMC1_LA23_N           N31       IO_L14N_T2_SRCC_34_N31               -
H28     FMC1_LA24_P           R30       IO_L18P_T2_34_R30                    -
H29     FMC1_LA24_N           P31       IO_L18N_T2_34_P31                    -
G27     FMC1_LA25_P           K29       IO_L7P_T1_34_K29                     -
G28     FMC1_LA25_N           K30       IO_L7N_T1_34_K30                     -
D26     FMC1_LA26_P           J30       IO_L8P_T1_34_J30                     -
D27     FMC1_LA26_N           H30       IO_L8N_T1_34_H30                     -
C26     FMC1_LA27_P           J31       IO_L10P_T1_34_J31                    -
C27     FMC1_LA27_N           H31       IO_L10N_T1_34_H31                    -
H31     FMC1_LA28_P           L29       IO_L9P_T1_DQS_34_L29                 -
H32     FMC1_LA28_N           L30       IO_L9N_T1_DQS_34_L30                 -
G30     FMC1_LA29_P           T29       IO_L21P_T3_DQS_34_T29                -
G31     FMC1_LA29_N           T30       IO_L21N_T3_DQS_34_T30                -
H34     FMC1_LA30_P           V30       IO_L20P_T3_34_V30                    -
H35     FMC1_LA30_N           V31       IO_L20N_T3_34_V31                    -
G33     FMC1_LA31_P           M28       IO_L15P_T2_DQS_34_M28                -
G34     FMC1_LA31_N           M29       IO_L15N_T2_DQS_34_M29                -
H37     FMC1_LA32_P           V29       IO_L23P_T3_34_V29                    -
H38     FMC1_LA32_N           U29       IO_L23N_T3_34_U29                    -
G36     FMC1_LA33_P           U31       IO_L19P_T3_34_U31                    -
G37     FMC1_LA33_N           T31       IO_L19N_T3_VREF_34_T31               -
F4      FMC1_HA00_CC_P        E34       IO_L13P_T2_MRCC_35_E34               -
F5      FMC1_HA00_CC_N        E35       IO_L13N_T2_MRCC_35_E35               -
E2      FMC1_HA01_CC_P        D35       IO_L11P_T1_SRCC_35_D35               -
E3      FMC1_HA01_CC_N        D36       IO_L11N_T1_SRCC_35_D36               -
K7      FMC1_HA02_P           E33       IO_L9P_T1_DQS_AD7P_35_E33            -
K8      FMC1_HA02_N           D33       IO_L9N_T1_DQS_AD7N_35_D33            -
J6      FMC1_HA03_P           H33       IO_L18P_T2_35_H33                    -
J7      FMC1_HA03_N           G33       IO_L18N_T2_35_G33                    -
F7      FMC1_HA04_P           F34       IO_L17P_T2_35_F34                    -
F8      FMC1_HA04_N           F35       IO_L17N_T2_35_F35                    -
E6      FMC1_HA05_P           G32       IO_L15P_T2_DQS_35_G32                -
E7      FMC1_HA05_N           F32       IO_L15N_T2_DQS_35_F32                -
K10     FMC1_HA06_P           G36       IO_L20P_T3_35_G36                    -
K11     FMC1_HA06_N           G37       IO_L20N_T3_35_G37                    -
J9      FMC1_HA07_P           C38       IO_L5P_T0_AD13P_35_C38               -
J10     FMC1_HA07_N           C39       IO_L5N_T0_AD13N_35_C39               -
F10     FMC1_HA08_P           J36       IO_L24P_T3_35_J36                    -
F11     FMC1_HA08_N           H36       IO_L24N_T3_35_H36                    -
E9      FMC1_HA09_P           E32       IO_L7P_T1_AD6P_35_E32                -
E10     FMC1_HA09_N           D32       IO_L7N_T1_ADN_35_D32                 -
K13     FMC1_HA10_P           H38       IO_L23P_T3_35_H38                    -
K14     FMC1_HA10_N           G38       IO_L23N_T3_35_G38                    -
J12     FMC1_HA11_P           J37       IO_L22P_T3_35_J37                    -
J13     FMC1_HA11_N           J38       IO_L22N_T3_35_J38                    -
F13     FMC1_HA12_P           B37       IO_L6P_T0_35_B37                     -
F14     FMC1_HA12_N           B38       IO_L6N_T0_VREF_35_B38                -
E12     FMC1_HA13_P           B36       IO_L1P_T0_AD4P_35_B36                -
E13     FMC1_HA13_N           A37       IO_L1N_T0_AD4N_35_A37                -
J15     FMC1_HA14_P           E37       IO_L19P_T3_35_E37                    -
J16     FMC1_HA14_N           E38       IO_L19N_T3_VREF_35_E38               -
F16     FMC1_HA15_P           C33       IO_L10P_T1_AD15P_35_C33              -
F17     FMC1_HA15_N           C34       IO_L10N_T1_AD15N_35_C34              -
E15     FMC1_HA16_P           B39       IO_L3P_T0_DQS_AD5P_35_B39            -
E16     FMC1_HA16_N           A39       IO_L3N_T0_DQS_AD5N_35_A39            -
K16     FMC1_HA17_CC_P        C35       IO_L12P_T1_MRCC_35_C35               -
K17     FMC1_HA17_CC_N        C36       IO_L12N_T1_MRCC_35_C36               -
J18     FMC1_HA18_P           F39       IO_L21P_T3_DQS_35_F39                -
J19     FMC1_HA18_N           E39       IO_L21N_T3_DQS_35_E39                -
F19     FMC1_HA19_P           B32       IO_L8P_T1_AD14P_35_B32               -
F20     FMC1_HA19_N           B33       IO_L8N_T1_AD14N_35_B33               -
E18     FMC1_HA20_P           B34       IO_L2P_T0_AD12P_35_B34               -
E19     FMC1_HA20_N           A34       IO_L2N_T0_AD12N_35_A34               -
K19     FMC1_HA21_P           D37       IO_L14P_T2_SRCC_35_D37               -
K20     FMC1_HA21_N           D38       IO_L14N_T2_SRCC_35_D38               -
J21     FMC1_HA22_P           F36       IO_L16P_T2_35_F36                    -
J22     FMC1_HA22_N           F37       IO_L16N_T2_35_F37                    -
K22     FMC1_HA23_P           A35       IO_L4P_T0_35_A35                     -
K23     FMC1_HA23_N           A36       IO_L4N_T0_35_A36                     -
K25     FMC1_HB00_CC_P        J25       IO_L12P_T1_MRCC_36_J25               -
K26     FMC1_HB00_CC_N        J26       IO_L12N_T1_MRCC_36_J26               -
J24     FMC1_HB01_P           H28       IO_L9P_T1_DQS_36_H28                 -
J25     FMC1_HB01_N           H29       IO_L9N_T1_DQS_36_H29                 -
F22     FMC1_HB02_P           K28       IO_L8P_T1_36_K28                     -
F23     FMC1_HB02_N           J28       IO_L8N_T1_36_J28                     -
E21     FMC1_HB03_P           G28       IO_L7P_T1_36_G28                     -
E22     FMC1_HB03_N           G29       IO_L7N_T1_36_G29                     -
F25     FMC1_HB04_P           H24       IO_L1P_TO_36_H24                     -
F26     FMC1_HB04_N           G24       IO_L1N_TO_36_G24                     -
E24     FMC1_HB05_P           K27       IO_L10P_T1_36_K27                    -
E25     FMC1_HB05_N           J27       IO_L10N_T1_36_J27                    -
K28     FMC1_HB06_CC_P        K23       IO_L14P_T2_SRCC_36_K23               -
K29     FMC1_HB06_CC_N        J23       IO_L14N_T2_SRCC_36_J23               -
J27     FMC1_HB07_P           G26       IO_L5P_TO_36_G26                     -
J28     FMC1_HB07_N           G27       IO_L5N_TO_36_G27                     -
F28     FMC1_HB08_P           H25       IO_L3P_TO_DQS_36_H25                 -
F29     FMC1_HB08_N           H26       IO_L3N_TO_DQS_36_H26                 -
E27     FMC1_HB09_P           H23       IO_L6P_TO_36_H23                     -
E28     FMC1_HB09_N           G23       IO_L6N_TO_VREF_36_G23                -
K31     FMC1_HB10_P           M22       IO_L15P_T2_DQS_36_M22                -
K32     FMC1_HB10_N           L22       IO_L15N_T2_DQS_36_L22                -
J30     FMC1_HB11_P           K22       IO_L17P_T2_36_K22                    -
J31     FMC1_HB11_N           J22       IO_L17N_T2_36_J22                    -
F31     FMC1_HB12_P           K24       IO_L11P_T1_SRCC_36_K24               -
F32     FMC1_HB12_N           K25       IO_L11N_T1_SRCC_36_K25               -
E30     FMC1_HB13_P           P25       IO_L20P_T3_36_P25                    -
E31     FMC1_HB13_N           P26       IO_L20N_T3_36_P26                    -
K34     FMC1_HB14_P           J21       IO_L2P_TO_36_J21                     -
K35     FMC1_HB14_N           H21       IO_L2N_TO_36_H21                     -
J33     FMC1_HB15_P           M21       IO_L18P_T2_36_M21                    -
J34     FMC1_HB15_N           L21       IO_L18N_T2_36_L21                    -
F34     FMC1_HB16_P           N25       IO_L22P_T3_36_N25                    -
F35     FMC1_HB16_N           N26       IO_L22N_T3_36_N26                    -
K37     FMC1_HB17_CC_P        M24       IO_L13P_T2_MRCC_36_M24               -
K38     FMC1_HB17_CC_N        L24       IO_L13N_T2_MRCC_36_L24               -
J36     FMC1_HB18_P           G21       IO_L4P_TO_36_G21                     -
J37     FMC1_HB18_N           G22       IO_L4N_TO_36_G22                     -
E33     FMC1_HB19_P           L25       IO_L16P_T2_36_L25                    -
E34     FMC1_HB19_N           L26       IO_L16N_T2_36_L26                    -
F37     FMC1_HB20_P           P21       IO_L19P_T3_36_P21                    -
F38     FMC1_HB20_N           N21       IO_L19N_T3_VREF_36_N21               -
E36     FMC1_HB21_P           P22       IO_L21P_T3_DQS_36_P22                -
E37     FMC1_HB21_N           P23       IO_L21N_T3_DQS_36_P23                -
D4      FMC1_GBTCLK0_M2C_P    G10       MGTREFCLK1P_118                      -
D5      FMC1_GBTCLK0_M2C_N    G9        MGTREFCLK1N_118                      -
B20     FMC1_GBTCLK1_M2C_P    E10       MGTREFCLK0P_118                      -
B21     FMC1_GBTCLK1_M2C_N    E9        MGTREFCLK0N_118                      -
C2      FMC1_DP0_C2M_P        E2        MGTHTXP0_119                         -
C3      FMC1_DP0_C2M_N        E1        MGTHTXN0_119                         -
C6      FMC1_DP0_M2C_P        D8        MGTHRXP0_119                         -
C7      FMC1_DP0_M2C_N        D7        MGTHRXN0_119                         -
A22     FMC1_DP1_C2M_P        D4        MGTHTXP1_119                         -
A23     FMC1_DP1_C2M_N        D3        MGTHTXN1_119                         -
A2      FMC1_DP1_M2C_P        C6        MGTHRXP1_119                         -
A3      FMC1_DP1_M2C_N        C5        MGTHRXN1_119                         -
A26     FMC1_DP2_C2M_P        C2        MGTHTXP2_119                         -
A27     FMC1_DP2_C2M_N        C1        MGTHTXN2_119                         -
A6      FMC1_DP2_M2C_P        B8        MGTHRXP2_119                         -
A7      FMC1_DP2_M2C_N        B7        MGTHRXN2_119                         -
A30     FMC1_DP3_C2M_P        B4        MGTHTXP3_119                         -
A31     FMC1_DP3_C2M_N        B3        MGTHTXN3_119                         -
A10     FMC1_DP3_M2C_P        A6        MGTHRXP3_119                         -
A11     FMC1_DP3_M2C_N        A5        MGTHRXN3_119                         -
A34     FMC1_DP4_C2M_P        J2        MGTHTXP0_118                         -
A35     FMC1_DP4_C2M_N        J1        MGTHTXN0_118                         -
A14     FMC1_DP4_M2C_P        H8        MGTHRXP0_118                         -
A15     FMC1_DP4_M2C_N        H7        MGTHRXN0_118                         -
A38     FMC1_DP5_C2M_P        H4        MGTHTXP1_118                         -
A39     FMC1_DP5_C2M_N        H3        MGTHTXN1_118                         -
A18     FMC1_DP5_M2C_P        G6        MGTHRXP1_118                         -
A19     FMC1_DP5_M2C_N        G5        MGTHRXN1_118                         -
B36     FMC1_DP6_C2M_P        G2        MGTHTXP2_118                         -
B37     FMC1_DP6_C2M_N        G1        MGTHTXN2_118                         -
B16     FMC1_DP6_M2C_P        F8        MGTHRXP2_118                         -
B17     FMC1_DP6_M2C_N        F7        MGTHRXN2_118                         -
B32     FMC1_DP7_C2M_P        F4        MGTHTXP3_118                         -
B33     FMC1_DP7_C2M_N        F3        MGTHTXN3_118                         -
B12     FMC1_DP7_M2C_P        E6        MGTHRXP3_118                         -
B13     FMC1_DP7_M2C_N        E5        MGTHRXN3_118                         -
B28     FMC1_DP8_C2M_P        N2        MGTHTXP0_117                         -
B29     FMC1_DP8_C2M_N        N1        MGTHTXN0_117                         -
B8      FMC1_DP8_M2C_P        P8        MGTHRXP0_117                         -
B9      FMC1_DP8_M2C_N        P7        MGTHRXN0_117                         -
B24     FMC1_DP9_C2M_P        M4        MGTHTXP1_117                         -
B25     FMC1_DP9_C2M_N        M3        MGTHTXN1_117                         -
B4      FMC1_DP9_M2C_P        N6        MGTHRXP1_117_N6                      -
B5      FMC1_DP9_M2C_N        N5        MGTHRXN1_117_N5                      -
B40     #N/A                  #N/A      #N/A                                 -
B1      #N/A                  #N/A      #N/A                                 -
K1      #N/A                  #N/A      #N/A                                 -
K4      #N/A                  #N/A      #N/A                                 -
K5      #N/A                  #N/A      #N/A                                 -
H1      #N/A                  #N/A      #N/A                                 -
J2      #N/A                  #N/A      #N/A                                 -
J3      #N/A                  #N/A      #N/A                                 -
F1      FMC1_PG_M2C           AN34      #N/A                                 -
H2      FMC1_PRSNT_M2C        AM31      #N/A                                 -
K40     FMC1_VIO_B_M2C        #N/A      #N/A                                 -
J39     FMC1_VIO_B_M2C        #N/A      #N/A                                 -
C30     FMC1_IIC_SCL          U52.4     #N/A                                 -
C31     FMC1_IIC_SDA          U52.3     #N/A                                 -
D1      PWRCTL1_VCC4B_PG      AL32      #N/A                                 -
D29     FMC1_TCK_BUF          U19.14    #N/A                                 -
D30     FMC1_TDI_BUF          U19.18    #N/A                                 -
D31     FMC1_TDO_FPGA_TDI     T10       #N/A                                 -
D33     FMC1_TMS_BUF          U19.17    #N/A                                 -
