FMC_pin FMC_port_name       FPGA_pin  FPGA_port_name                       Comments

H4      FMC1_CLK0_M2C_P     D19       IO_L13P_T2_MRCC_16                   -
F35     FMC1_HB16_N         #N/A      #N/A                                 -
K37     FMC1_HB17_CC_P      #N/A      #N/A                                 -
K38     FMC1_HB17_CC_N      #N/A      #N/A                                 -
J36     FMC1_HB18_P         #N/A      #N/A                                 -
J37     FMC1_HB18_N         #N/A      #N/A                                 -
E33     FMC1_HB19_P         #N/A      #N/A                                 -
E34     FMC1_HB19_N         #N/A      #N/A                                 -
F37     FMC1_HB20_P         #N/A      #N/A                                 -
F38     FMC1_HB20_N         #N/A      #N/A                                 -
E36     FMC1_HB21_P         #N/A      #N/A                                 -
E37     FMC1_HB21_N         #N/A      #N/A                                 -
D4      FMC1_GBTCLK0_M2C_P  #N/A      #N/A                                 -
D5      FMC1_GBTCLK0_M2C_N  #N/A      #N/A                                 -
B20     FMC1_GBTCLK1_M2C_P  #N/A      #N/A                                 -
B21     FMC1_GBTCLK1_M2C_N  #N/A      #N/A                                 -
C2      FMC1_DP0_C2M_P      #N/A      #N/A                                 -
C3      FMC1_DP0_C2M_N      #N/A      #N/A                                 -
C6      FMC1_DP0_M2C_P      #N/A      #N/A                                 -
C7      FMC1_DP0_M2C_N      #N/A      #N/A                                 -
A22     FMC1_DP1_C2M_P      #N/A      #N/A                                 -
A23     FMC1_DP1_C2M_N      #N/A      #N/A                                 -
A2      FMC1_DP1_M2C_P      #N/A      #N/A                                 -
A3      FMC1_DP1_M2C_N      #N/A      #N/A                                 -
A26     FMC1_DP2_C2M_P      #N/A      #N/A                                 -
A27     FMC1_DP2_C2M_N      #N/A      #N/A                                 -
A6      FMC1_DP2_M2C_P      #N/A      #N/A                                 -
A7      FMC1_DP2_M2C_N      #N/A      #N/A                                 -
A30     FMC1_DP3_C2M_P      #N/A      #N/A                                 -
A31     FMC1_DP3_C2M_N      #N/A      #N/A                                 -
A10     FMC1_DP3_M2C_P      #N/A      #N/A                                 -
A11     FMC1_DP3_M2C_N      #N/A      #N/A                                 -
A34     FMC1_DP4_C2M_P      #N/A      #N/A                                 -
A35     FMC1_DP4_C2M_N      #N/A      #N/A                                 -
A14     FMC1_DP4_M2C_P      #N/A      #N/A                                 -
A15     FMC1_DP4_M2C_N      #N/A      #N/A                                 -
A38     FMC1_DP5_C2M_P      #N/A      #N/A                                 -
A39     FMC1_DP5_C2M_N      #N/A      #N/A                                 -
A18     FMC1_DP5_M2C_P      #N/A      #N/A                                 -
A19     FMC1_DP5_M2C_N      #N/A      #N/A                                 -
B36     FMC1_DP6_C2M_P      #N/A      #N/A                                 -
B37     FMC1_DP6_C2M_N      #N/A      #N/A                                 -
B16     FMC1_DP6_M2C_P      #N/A      #N/A                                 -
B17     FMC1_DP6_M2C_N      #N/A      #N/A                                 -
B32     FMC1_DP7_C2M_P      #N/A      #N/A                                 -
B33     FMC1_DP7_C2M_N      #N/A      #N/A                                 -
B12     FMC1_DP7_M2C_P      #N/A      #N/A                                 -
B13     FMC1_DP7_M2C_N      #N/A      #N/A                                 -
B28     FMC1_DP8_C2M_P      #N/A      #N/A                                 -
B29     FMC1_DP8_C2M_N      #N/A      #N/A                                 -
B8      FMC1_DP8_M2C_P      #N/A      #N/A                                 -
B9      FMC1_DP8_M2C_N      #N/A      #N/A                                 -
B24     FMC1_DP9_C2M_P      #N/A      #N/A                                 -
B25     FMC1_DP9_C2M_N      #N/A      #N/A                                 -
B4      FMC1_DP9_M2C_P      #N/A      #N/A                                 -
B5      FMC1_DP9_M2C_N      #N/A      #N/A                                 -
C30     FMC1_SCL            #N/A      #N/A                                 -
C31     FMC1_SDA            #N/A      #N/A                                 -
D1      FMC1_PG_C2M         #N/A      #N/A                                 -
F1      FMC1_PG_M2C         N17       IO_L4N_T0_D05_14                     -
H2      FMC1_PRSNT_M2C_L    N16       IO_L4P_T0_D04_14                     -
